t,R,D_eff,M_tau,R_ok,D_ok,M_ok,Pi_window,Access_all,dataset,subject,condition,filename,band,run,eyes
73.692,0.36604845384778883,86.9101551843525,0.006965718012362778,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
75.196,0.3144528196759897,86.85108858837918,0.003513390312925325,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
76.7,0.38414994368422856,86.9189274025986,0.003116974546422901,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
78.204,0.3412454164546205,86.75930565347049,0.0024629961756112363,True,True,False,0.6666666666666666,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
79.708,0.24632722378002816,86.4583362488336,0.004030919515107618,True,False,True,0.6666666666666666,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
81.212,0.26276876829395046,86.79765567778517,0.0036888676740126436,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
82.716,0.2118662439749693,86.365814704859,0.003604048961543923,False,False,True,0.3333333333333333,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
84.22,0.1968097526074593,86.43665168142267,0.003358204059699835,False,False,True,0.3333333333333333,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
85.724,0.23078971736773898,86.64698559590136,0.0077586852579399485,True,True,False,0.6666666666666666,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
87.228,0.2902165318845394,86.78792890323128,0.007947750024313518,True,True,False,0.6666666666666666,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
1.5,0.25755376068494656,86.8171304554556,0.004821283798811558,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
3.004,0.33836814717951447,87.00264636818422,0.0031647107181263247,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
4.508,0.37246580708216415,86.97401276971392,0.0009035575474070222,True,True,False,0.6666666666666666,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
6.012,0.27635339019143373,86.838878687458,0.0053302577265464035,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
7.516,0.1803438671174095,86.32253132403156,0.007269214267768504,False,False,True,0.3333333333333333,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
9.02,0.3111470426817383,86.8981508345031,0.0050863328749733575,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
10.524,0.35531222740460483,86.91471467744569,0.0015470931102911885,True,True,False,0.6666666666666666,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
12.028,0.24591628085234218,86.74899379401585,0.0010108863296488704,True,True,False,0.6666666666666666,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
13.532,0.3159023295697222,86.85040953441349,0.0014154919552982841,True,True,False,0.6666666666666666,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
15.036,0.2602070674594576,86.79656226733485,0.0016551591217587218,True,True,False,0.6666666666666666,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
16.54,0.293344831096525,86.63234355220105,0.0014820101645781844,True,True,False,0.6666666666666666,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
18.044,0.33372565014059036,86.9797247099741,0.0022450339957778872,True,True,False,0.6666666666666666,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
19.548,0.30652141959564144,86.82757882341438,0.0032461269311207137,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
21.052,0.26097279518880845,86.87453321646638,0.0033775412286903873,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
22.556,0.2515852675575368,86.57972922108065,0.004756600691512678,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
24.06,0.20089194031197305,86.44044314179094,0.00455087951787777,False,False,True,0.3333333333333333,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
25.564,0.2746984700717909,86.78244816762951,0.003332438509239965,True,True,True,1.0,1,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
27.068,0.19683750536547967,86.40482608737143,0.002757807109788633,False,False,True,0.3333333333333333,0,Chennu,2,moderate,02-2010-anest 20100210 135.014.set,alpha,,
