dataset,subject,condition,band,R_mean,D_mean,M_mean,Pi,Access_all,n_windows,theta_power,alpha_power,beta_power,gamma_power,alpha_gamma_ratio,spectral_entropy,aperiodic_slope
Chennu,18,moderate,gamma,0.16738716219757957,86.43021997570118,0.0016441998274002612,0.8563218390804598,0.6379310344827587,58.0,0.0626807378324449,0.44264293258923537,0.3475716170387138,0.011529759356828814,38.39134181830748,0.8523802583033636,-2.031979723980722
Chennu,2,baseline,alpha,0.2896369690821126,86.75331717416432,0.004365091662403046,0.8275862068965517,0.6206896551724138,58.0,0.1024034725878402,0.5229418450621022,0.14922867964078032,0.013627593984822254,38.37374709036352,0.8010785475185731,-2.0920821063561506
Chennu,2,baseline,gamma,0.17343837163788214,86.43485577176199,0.0018129385753966316,0.8275862068965517,0.5862068965517241,58.0,0.1024034725878402,0.5229418450621022,0.14922867964078032,0.013627593984822254,38.37374709036352,0.8010785475185731,-2.0920821063561506
Chennu,2,moderate,alpha,0.2644582666421552,86.71698453056054,0.00438097309474389,0.8045977011494252,0.603448275862069,58.0,0.05670948858414434,0.3787327140094771,0.3353575639149043,0.017979109334930327,21.065154392970918,0.8592326858499455,-1.9436326908163646
Chennu,2,moderate,gamma,0.15577908755119318,86.36314369415307,0.0015961658317196602,0.6839080459770116,0.3620689655172414,58.0,0.05670948858414434,0.3787327140094771,0.3353575639149043,0.017979109334930327,21.065154392970918,0.8592326858499455,-1.9436326908163646
Chennu,20,baseline,alpha,0.25244016656660423,86.56441042903795,0.002073469054261896,0.8275862068965517,0.5689655172413793,58.0,0.22175051592727538,0.14899180696137493,0.11586027111543275,0.021463399132113387,6.941668746750964,0.7829616280543095,-2.0168009782880576
Chennu,20,baseline,gamma,0.16358847986891226,86.35330333005398,0.001591193685758386,0.8275862068965516,0.5689655172413793,58.0,0.22175051592727538,0.14899180696137493,0.11586027111543275,0.021463399132113387,6.941668746750964,0.7829616280543095,-2.0168009782880576
Chennu,20,moderate,alpha,0.36749951454161667,86.84131662543207,0.0021934253325441057,0.660919540229885,0.2413793103448276,58.0,0.09023245624279225,0.22756964065963514,0.4262493047471027,0.02447956696130506,9.29630989837602,0.8862916789723045,-1.6178765481071042
Chennu,20,moderate,gamma,0.16708079696673528,86.37648209436063,0.001207341795240882,0.8333333333333334,0.5689655172413793,58.0,0.09023245624279225,0.22756964065963514,0.4262493047471027,0.02447956696130506,9.29630989837602,0.8862916789723045,-1.6178765481071042
Chennu,22,baseline,alpha,0.2496033124537791,86.61593272105559,0.0030569878470277606,0.8275862068965516,0.603448275862069,58.0,0.09423553829160662,0.2557867611416322,0.36463852761691673,0.019248664002925384,13.288546212322556,0.8688273267011043,-1.9018525381127824
Chennu,22,baseline,gamma,0.16770895128972974,86.39592843770221,0.0010917495790783115,0.8275862068965516,0.5689655172413793,58.0,0.09423553829160662,0.2557867611416322,0.36463852761691673,0.019248664002925384,13.288546212322556,0.8688273267011043,-1.9018525381127824
Chennu,22,moderate,alpha,0.2620438241848542,86.73736140120445,0.0035982824237222864,0.7586206896551723,0.39655172413793105,58.0,0.06211179638354344,0.26075649780311544,0.46952903323688444,0.019340517376210013,13.482395156107824,0.8828323581535346,-1.7575510054629115
Chennu,22,moderate,gamma,0.16258907151455168,86.3506934388409,0.0011807380844154945,0.7528735632183906,0.46551724137931033,58.0,0.06211179638354344,0.26075649780311544,0.46952903323688444,0.019340517376210013,13.482395156107824,0.8828323581535346,-1.7575510054629115
Chennu,23,baseline,alpha,0.3629261941928448,86.93327961741166,0.005205216770084141,0.8275862068965517,0.5862068965517241,58.0,0.13187135712469789,0.49680368659085083,0.0690166979102581,0.004575027881568954,108.59030793750864,0.7376236007004345,-2.7408760908024146
Chennu,23,baseline,gamma,0.15776938324489512,86.27940236985796,0.0009389366230333931,0.8275862068965517,0.5517241379310345,58.0,0.13187135712469789,0.49680368659085083,0.0690166979102581,0.004575027881568954,108.59030793750864,0.7376236007004345,-2.7408760908024146
Chennu,23,moderate,alpha,0.30330304266638924,86.80011177302305,0.004560366537396773,0.6839080459770116,0.3793103448275862,58.0,0.06831129463851622,0.38561320281619776,0.31826370912079316,0.010182657594573357,37.86960321476713,0.8487804898365648,-2.1137772629055798
Chennu,23,moderate,gamma,0.19464201969840017,86.45883961024224,0.0013970263831706838,0.6379310344827587,0.2413793103448276,58.0,0.06831129463851622,0.38561320281619776,0.31826370912079316,0.010182657594573357,37.86960321476713,0.8487804898365648,-2.1137772629055798
Chennu,24,baseline,alpha,0.3265549056435438,86.84366262383399,0.004997177825784052,0.8275862068965516,0.6206896551724138,58.0,0.15418555720268243,0.4316750122391415,0.1175217128971256,0.006078624426968909,71.01524651743945,0.7793920323794244,-2.611491706862302
Chennu,24,baseline,gamma,0.164298121199874,86.37405708080593,0.0018115893497374273,0.8275862068965516,0.6206896551724138,58.0,0.15418555720268243,0.4316750122391415,0.1175217128971256,0.006078624426968909,71.01524651743945,0.7793920323794244,-2.611491706862302
Chennu,24,moderate,alpha,0.5450161354230275,87.16660786001496,0.002983110892895967,0.6666666666666666,0.2413793103448276,58.0,0.08426818987285403,0.46646738749732625,0.2085901047932279,0.014715715321629179,31.698587344919158,0.7989469248519013,-2.0587848506888555
Chennu,24,moderate,gamma,0.23760257995550738,86.67092045542861,0.0021936063559619737,0.6436781609195401,0.10344827586206896,58.0,0.08426818987285403,0.46646738749732625,0.2085901047932279,0.014715715321629179,31.698587344919158,0.7989469248519013,-2.0587848506888555
Chennu,25,baseline,alpha,0.29068103069555856,86.6697300899003,0.0019765900465808397,0.8275862068965516,0.6551724137931034,58.0,0.1366933816403733,0.22109738802444795,0.25299443517942843,0.06009479983326952,3.679143430616196,0.8806757545664788,-1.340887448137116
Chennu,25,baseline,gamma,0.15447486802945995,86.37744619975756,0.0014606732896613433,0.8275862068965517,0.5689655172413793,58.0,0.1366933816403733,0.22109738802444795,0.25299443517942843,0.06009479983326952,3.679143430616196,0.8806757545664788,-1.340887448137116
Chennu,25,moderate,alpha,0.23551411715341597,86.58486029597557,0.0027144255853170686,0.718390804597701,0.39655172413793105,58.0,0.09690146322092,0.22318951148098426,0.3257359225460592,0.023020540430650497,9.695233356647236,0.8637557139767703,-1.795350986101126
Chennu,25,moderate,gamma,0.16210841879597002,86.37154362179056,0.0010471423721793364,0.8275862068965517,0.5862068965517241,58.0,0.09690146322092,0.22318951148098426,0.3257359225460592,0.023020540430650497,9.695233356647236,0.8637557139767703,-1.795350986101126
Chennu,26,baseline,alpha,0.26567870358086304,86.72035149928874,0.006142118691546316,0.8275862068965516,0.5517241379310345,58.0,0.20697708984434157,0.38962152079893553,0.19740336961789437,0.013170056459036773,29.583891457200906,0.8384740470454264,-2.2065239405782227
