dataset,band,caliper_quantile,n_pairs,n_subjects,spectral_norm_cutoff,mean_abs_spectral_delta,model,auc,balanced_accuracy,n,log_loss
DS005620,alpha,0.5,20,12,2.0734902093121876,2.9601506237998607,spectral_all,1.0,0.975,40,0.06464064065804875
DS005620,alpha,0.75,30,17,2.897652351695495,3.2615856590330803,pi_sign_rule_no_fit,0.6666666666666666,0.55,60,3.0412343666656576
DS005620,alpha,0.75,30,17,2.897652351695495,3.2615856590330803,gcc_triad_plus_pi,0.6688888888888889,0.7666666666666666,60,0.65362828961771
DS005620,alpha,0.75,30,17,2.897652351695495,3.2615856590330803,residual_gcc_after_spectral_all,0.5,0.7333333333333334,60,0.6937684280692575
DS005620,alpha,0.75,30,17,2.897652351695495,3.2615856590330803,spectral_all,1.0,0.9833333333333334,60,0.07593958036818112
FarnesKetamine,alpha,0.5,5,5,2.3824896333159407,0.842757995757312,pi_sign_rule_no_fit,0.6,0.5,10,3.419481250752946
FarnesKetamine,alpha,0.5,5,5,2.3824896333159407,0.842757995757312,gcc_triad_plus_pi,0.8,0.7,10,1.3451308006124987
FarnesKetamine,alpha,0.5,5,5,2.3824896333159407,0.842757995757312,residual_gcc_after_spectral_all,0.6,0.8,10,2.92367667515306
FarnesKetamine,alpha,0.5,5,5,2.3824896333159407,0.842757995757312,spectral_all,0.8,0.8,10,0.8285544469299257
FarnesKetamine,alpha,0.75,7,7,2.846459785913299,1.1363475424476281,pi_sign_rule_no_fit,0.7142857142857143,0.5,14,2.897505895125858
FarnesKetamine,alpha,0.75,7,7,2.846459785913299,1.1363475424476281,gcc_triad_plus_pi,0.8571428571428571,0.7857142857142857,14,0.8791031226067888
FarnesKetamine,alpha,0.75,7,7,2.846459785913299,1.1363475424476281,residual_gcc_after_spectral_all,0.42857142857142855,0.7142857142857143,14,4.149505348152338
FarnesKetamine,alpha,0.75,7,7,2.846459785913299,1.1363475424476281,spectral_all,1.0,0.9285714285714286,14,0.29490277866562503
Chennu,gamma,0.25,5,5,1.2828104662502617,0.4858997601126221,pi_sign_rule_no_fit,0.7,0.5,10,3.7978293298651566
Chennu,gamma,0.25,5,5,1.2828104662502617,0.4858997601126221,gcc_triad_plus_pi,0.32,0.6,10,0.9369897990590685
Chennu,gamma,0.25,5,5,1.2828104662502617,0.4858997601126221,residual_gcc_after_spectral_all,0.8,0.9,10,1.5651586663969905
Chennu,gamma,0.25,5,5,1.2828104662502617,0.4858997601126221,spectral_all,1.0,1.0,10,0.18680166507946044
Chennu,gamma,0.5,10,10,2.178957287956753,1.2751732463672745,pi_sign_rule_no_fit,0.75,0.5,20,3.1012883606513926
Chennu,gamma,0.5,10,10,2.178957287956753,1.2751732463672745,gcc_triad_plus_pi,0.6,0.75,20,0.6724985057591195
Chennu,gamma,0.5,10,10,2.178957287956753,1.2751732463672745,residual_gcc_after_spectral_all,0.4,0.7,20,0.855876673731856
Chennu,gamma,0.5,10,10,2.178957287956753,1.2751732463672745,spectral_all,1.0,0.9,20,0.2421474253670502
Chennu,gamma,0.75,15,15,3.255401551175452,2.2415152904864857,pi_sign_rule_no_fit,0.8333333333333334,0.5,30,2.4329330438397276
Chennu,gamma,0.75,15,15,3.255401551175452,2.2415152904864857,gcc_triad_plus_pi,0.8044444444444445,0.8666666666666667,30,0.5019739330915453
Chennu,gamma,0.75,15,15,3.255401551175452,2.2415152904864857,residual_gcc_after_spectral_all,0.7333333333333333,0.8333333333333333,30,0.6455151425733792
Chennu,gamma,0.75,15,15,3.255401551175452,2.2415152904864857,spectral_all,0.9333333333333333,0.9,30,0.29906619482159097
DS005620,gamma,0.25,10,7,1.512829605588373,2.8108884747963576,pi_sign_rule_no_fit,1.0,0.5,20,0.9922607212061789
DS005620,gamma,0.25,10,7,1.512829605588373,2.8108884747963576,gcc_triad_plus_pi,1.0,0.9,20,0.2918158787702909
DS005620,gamma,0.25,10,7,1.512829605588373,2.8108884747963576,residual_gcc_after_spectral_all,0.5,0.75,20,0.8638653721230283
DS005620,gamma,0.25,10,7,1.512829605588373,2.8108884747963576,spectral_all,1.0,1.0,20,0.05072157283931532
DS005620,gamma,0.5,20,12,2.0734902093121876,2.9601506237998607,pi_sign_rule_no_fit,1.0,0.5,40,0.9867292556338741
DS005620,gamma,0.5,20,12,2.0734902093121876,2.9601506237998607,gcc_triad_plus_pi,0.95,0.9,40,0.3314114177545114
DS005620,gamma,0.5,20,12,2.0734902093121876,2.9601506237998607,residual_gcc_after_spectral_all,0.6949999999999998,0.8,40,0.7156883560823453
DS005620,gamma,0.5,20,12,2.0734902093121876,2.9601506237998607,spectral_all,1.0,0.975,40,0.06464064065804875
DS005620,gamma,0.75,30,17,2.897652351695495,3.2615856590330803,pi_sign_rule_no_fit,1.0,0.5,60,1.031125460910962
DS005620,gamma,0.75,30,17,2.897652351695495,3.2615856590330803,gcc_triad_plus_pi,1.0,0.9,60,0.23829357245360408
DS005620,gamma,0.75,30,17,2.897652351695495,3.2615856590330803,residual_gcc_after_spectral_all,0.7177777777777778,0.8333333333333333,60,0.6688043072741557
DS005620,gamma,0.75,30,17,2.897652351695495,3.2615856590330803,spectral_all,1.0,0.9833333333333334,60,0.07593958036818112
FarnesKetamine,gamma,0.5,5,5,2.3824896333159407,0.842757995757312,pi_sign_rule_no_fit,0.8,0.5,10,2.706885530229837
FarnesKetamine,gamma,0.5,5,5,2.3824896333159407,0.842757995757312,gcc_triad_plus_pi,0.6399999999999999,0.6,10,0.636632837550845
FarnesKetamine,gamma,0.5,5,5,2.3824896333159407,0.842757995757312,residual_gcc_after_spectral_all,0.6,0.8,10,2.9438957858565407
FarnesKetamine,gamma,0.5,5,5,2.3824896333159407,0.842757995757312,spectral_all,0.8,0.8,10,0.8285544469299257
FarnesKetamine,gamma,0.75,7,7,2.846459785913299,1.1363475424476281,pi_sign_rule_no_fit,0.7142857142857143,0.5,14,3.222265210272803
FarnesKetamine,gamma,0.75,7,7,2.846459785913299,1.1363475424476281,gcc_triad_plus_pi,0.5102040816326531,0.6428571428571428,14,0.6754803527186454
FarnesKetamine,gamma,0.75,7,7,2.846459785913299,1.1363475424476281,residual_gcc_after_spectral_all,0.8571428571428571,0.9285714285714286,14,1.1791720261051573
FarnesKetamine,gamma,0.75,7,7,2.846459785913299,1.1363475424476281,spectral_all,1.0,0.9285714285714286,14,0.29490277866562503
