alpha,band,contrast,score,n,auc,auc_ci_low,auc_ci_high,pos_mean,neg_mean,mean_delta,cohens_d_pooled,mannwhitney_p_greater,q_all_tests_bh,q_within_score_bh
0.2,gamma,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.6708333333333333,0.4415625,0.8709375000000005,0.0470375938556848,-0.0208918033492797,0.0679293972049646,0.6388203487072172,0.0748036356994711,0.11811100373600701,0.10686233671353015
0.2,gamma,MCSany_vs_VS,raw_cv_pi,42,0.6083333333333333,0.4055555555555556,0.7972222222222222,0.2800748386952703,0.2430514490605199,0.0370233896347503,0.3773490941449393,0.1418662882987166,0.18111835245024205,0.17733286037339574
0.2,gamma,MCSany_vs_VS,spectral_residual_cv_pi,42,0.6916666666666667,0.5111111111111111,0.861111111111111,0.0549893304406421,-0.0259002095140089,0.080889539954651,0.713362533313787,0.0282474950395894,0.08366564032194762,0.06414684927426309
0.2,gamma,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.65,0.45,0.8333333333333334,0.0450061618620598,-0.0234093769414222,0.068415538803482,0.6008949492982341,0.0681695654745095,0.1105452413100154,0.10487625457616846
0.25,alpha,MCSplus_vs_VS,raw_cv_pi,38,0.7083333333333334,0.5166666666666667,0.8791666666666667,0.1681117734835948,0.0925046122521544,0.0756071612314403,0.7983814539370736,0.0381573492574653,0.084794109461034,0.0763146985149306
0.25,alpha,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.6416666666666666,0.4333333333333333,0.8333333333333333,0.0615295599590404,-0.0202972467140756,0.081826806673116,0.7322743872805176,0.1177129641376121,0.16664424154686813,0.15695061885014946
0.25,alpha,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.6375,0.4291666666666667,0.8291666666666666,0.0629482518376877,-0.0231315782170903,0.0860798300547781,0.734922369722384,0.1249831811601511,0.16664424154686813,0.16664424154686813
0.25,alpha,MCSany_vs_VS,raw_cv_pi,42,0.7083333333333334,0.5138888888888888,0.8777777777777778,0.1742501767779765,0.0973141626103388,0.0769360141676376,0.8173023284621198,0.0190240784066315,0.08366564032194762,0.070606234784508
0.25,alpha,MCSany_vs_VS,spectral_residual_cv_pi,42,0.5972222222222222,0.3777083333333333,0.8111805555555558,0.0392460995753294,-0.0238555210608699,0.0631016206361993,0.5989681573315772,0.168386867870524,0.19037187588433302,0.1772493346005516
0.25,alpha,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.5805555555555555,0.3554861111111111,0.7972222222222222,0.0357678462870919,-0.0235908282160624,0.0593586745031544,0.5553415738354329,0.2137416492673089,0.21736438908539887,0.224991209755062
