subject,channel_set,R_min,D_min,D_max,M_min,M_max
1033,frontotemporal,0.35899026288195574,1.58299544562373,3.1657988323798962,0.023405974635196312,0.03448110675800383
1033,posterior,0.49782459530355316,1.6664429742367153,1.9835871114593822,0.03997334388988657,0.0499114406297902
1036,all_eeg,0.0915450379177066,5.81549016886294,6.716108729869407,0.0020916482832806886,0.0029751403198456238
1036,centro_posterior,0.3173054026434864,3.663095614584733,4.370891911040254,0.021351802127008716,0.029093875895425562
1036,frontotemporal,0.3482156543543668,5.628759346604508,6.434457927112741,0.020089967487956887,0.026536387544896876
1036,posterior,0.4796512387656824,2.212197069976293,2.67492245072735,0.04274878529829868,0.05554360360947399
1037,all_eeg,0.0807285300579191,2.880858074373184,3.9179761909748874,0.00174886872444878,0.003275959402342404
1037,centro_posterior,0.35773509734995546,2.444850644598347,3.1028708659017914,0.02456347353290278,0.03480820331121651
1037,frontotemporal,0.3832129291669055,2.363471013680251,3.2694317836113265,0.023128851925773818,0.030012343447999135
1037,posterior,0.5063413518429364,2.263452656761015,2.9154699861281475,0.040647725907810024,0.05501345949910072
1045,all_eeg,0.12259425858567921,5.201633406193374,5.733924363284694,0.003628497524331168,0.005168777437892786
1045,centro_posterior,0.36628796106311146,3.4952872447198002,4.012756679552761,0.02371144476169649,0.031963336806497294
1045,frontotemporal,0.4047402325577921,3.908434511837318,4.390640136168957,0.022785520806559004,0.030268319110850882
1045,posterior,0.5613647437666492,2.1688435444289333,2.5215876562092414,0.04478637704117618,0.05541002076554598
1046,all_eeg,0.0790264132154305,3.3376366802010393,4.143995771705537,0.0016931534941925358,0.0022854390041106417
1046,centro_posterior,0.35594398818974,2.605469255103772,3.2101834388519728,0.025001640648383106,0.033789411250261324
1046,frontotemporal,0.3433042932638138,2.7028237616412074,3.4990998170782963,0.01908323118291316,0.025942577225940334
1046,posterior,0.5310102499209127,1.8849158082082302,2.278247072957809,0.04451985903791201,0.058882213811869005
1054,all_eeg,0.10031562784089045,5.838025957570466,6.909638378236147,0.002765049083160054,0.003910004082945257
1054,centro_posterior,0.3620680138596614,3.798185173169839,4.556044111025617,0.023348580870887606,0.030463311219857916
1054,frontotemporal,0.31795144827960137,4.527587284858827,5.253311994874495,0.017083812886444706,0.02242717386043317
1054,posterior,0.5430577540038549,2.79446876241687,3.2257166730435416,0.042920428638504225,0.05380712692787923
1055,all_eeg,0.1252967772556471,4.450153728469606,5.286576975503151,0.003394229515323172,0.004590676361886319
1055,centro_posterior,0.3965833619063269,4.030161247815194,4.515853456864579,0.028595332389752103,0.03621840897694339
1055,frontotemporal,0.4116447225486363,2.7191356579998227,3.3752522569020424,0.023895774761201045,0.031133922357151886
1055,posterior,0.5240891054882826,2.4066703348210776,2.89340133022688,0.0419266812490667,0.05374333548352986
1057,all_eeg,0.09394007566091656,4.963139321502988,5.873021467209938,0.0021931040345396263,0.003076442687355567
1057,centro_posterior,0.4067033631331154,3.8275064733372552,4.52801671325573,0.028590379920960845,0.037506968426617916
1057,frontotemporal,0.357024437658066,3.709841234648707,4.198278285142289,0.019714307597283046,0.026831646169911915
1057,posterior,0.5691193631955678,2.850602097219102,3.3965687142602956,0.04311875889089731,0.05446470291156377
1060,all_eeg,0.1417438899589103,4.034859640779819,5.262616798730944,0.0045775760338579155,0.0063550622833519746
1060,centro_posterior,0.420684733084511,2.5587938019800753,2.85034434788407,0.02950163398173435,0.039731933935397694
1060,frontotemporal,0.31142478728957507,3.4225482595873866,4.28824720112346,0.016791649473708474,0.021751425570973256
1060,posterior,0.5885494586929889,1.6974846004371174,2.0670770335354938,0.044082018452100274,0.05821052728499913
1061,all_eeg,0.09372820360166031,5.2683128004091735,6.444416878622145,0.002133246003408937,0.0036335897602477554
1061,centro_posterior,0.35901940791383424,3.831856521454957,4.468198492001823,0.02545920908635706,0.035554889870470806
1061,frontotemporal,0.34045607161265473,4.703927452848274,5.633932429315351,0.017843962984386254,0.025980385625772578
1061,posterior,0.5556683659408439,2.494909946637068,2.751150058524975,0.04541981513209595,0.05810662410922934
1062,all_eeg,0.414169672199066,5.192190265690968,5.938976680217531,0.007412210184200686,0.009628143865807591
1062,centro_posterior,0.5558005113832326,3.4193751079325883,3.8388817160202193,0.027125867321073263,0.0325256733925361
1062,frontotemporal,0.47852710174832225,3.7094988864442473,4.144167922257214,0.03023765602552684,0.03604400451741004
1062,posterior,0.6900402801994633,2.2771175941347344,2.5707420247238644,0.040028333554244525,0.045881400904202264
1064,all_eeg,0.09913376078753264,3.7127914506583206,4.456354662295396,0.0025324747890858946,0.0036890153488709247
1064,centro_posterior,0.4228624543049227,2.798300551832997,3.2985555885682536,0.031249495321807236,0.03942359985148065
1064,frontotemporal,0.3528866556229269,2.912595583377174,3.912982962445178,0.02107869053282565,0.027380727996697208
1064,posterior,0.5890171435353437,2.1335209622286224,2.4554218190619372,0.04471930203620634,0.05772212087104876
1067,all_eeg,0.14654935408262937,5.9722143459395145,7.375172513364881,0.006154523448249251,0.013931357216326424
1067,centro_posterior,0.38484715168762895,3.58315974895104,4.322520141407696,0.02746244764358626,0.03702058502484848
1067,frontotemporal,0.32486458048777445,4.814331974992296,6.136593793019595,0.01919170619100157,0.024933670223108346
1067,posterior,0.547733902799774,2.8090991209764535,3.3451784440410774,0.03716426912240102,0.04779011829437464
1068,all_eeg,0.12274356558852707,4.037163194149549,5.239100689633668,0.0034766721593298324,0.005330795860616115
1068,centro_posterior,0.4723316497510448,2.2465371085320767,2.838657411652397,0.02887331755318827,0.03832300117606137
1068,frontotemporal,0.3464001671925067,4.698948580218779,5.631629081619892,0.01864305883717062,0.028189825134083676
1068,posterior,0.6893699188285678,1.7390941604243308,2.0381260051829164,0.03993422337265583,0.052534142368882084
1071,all_eeg,0.10882530514457336,6.019391222045029,7.124311521956616,0.0035001504454842424,0.005078358724133055
1071,centro_posterior,0.3628499126420389,2.6610829866229864,3.5518069324894035,0.022708092649724416,0.029778821592778795
1071,frontotemporal,0.33063602063359554,5.499249770484827,6.258435369913444,0.018021529033730777,0.023370690425613995
