subject,task,condition,acq,run,filename,channel_set,n_channels,gamma_rel_power,hf_rel_power
1024,sed,sed,rest,1,sub-1024_task-sed_acq-rest_run-1_eeg.vhdr,centro_posterior,32,0.012377163540538009,0.006470229413477823
1024,sed,sed,rest,1,sub-1024_task-sed_acq-rest_run-1_eeg.vhdr,frontotemporal,30,0.010112351063608747,0.00413724277125198
1024,sed,sed,rest,2,sub-1024_task-sed_acq-rest_run-2_eeg.vhdr,all_eeg,62,0.011884771765017878,0.0029151676802433918
1024,sed,sed,rest,2,sub-1024_task-sed_acq-rest_run-2_eeg.vhdr,posterior,18,0.012378925631377978,0.003267396065330687
1024,sed,sed,rest,2,sub-1024_task-sed_acq-rest_run-2_eeg.vhdr,centro_posterior,32,0.014161585400896562,0.004028640524125676
1024,sed,sed,rest,2,sub-1024_task-sed_acq-rest_run-2_eeg.vhdr,frontotemporal,30,0.010829552195034701,0.002399113877246922
1024,sed,sed,rest,3,sub-1024_task-sed_acq-rest_run-3_eeg.vhdr,all_eeg,62,0.008610207169753987,0.002597059786432111
1024,sed,sed,rest,3,sub-1024_task-sed_acq-rest_run-3_eeg.vhdr,posterior,18,0.009026093629373384,0.0019365417122679885
1024,sed,sed,rest,3,sub-1024_task-sed_acq-rest_run-3_eeg.vhdr,centro_posterior,32,0.010336194998169988,0.0028480253031273666
1024,sed,sed,rest,3,sub-1024_task-sed_acq-rest_run-3_eeg.vhdr,frontotemporal,30,0.007540748617309637,0.00244155624592066
1033,awake,awake,EC,0,sub-1033_task-awake_acq-EC_eeg.vhdr,all_eeg,62,0.023852502815042444,0.034413999300180825
1033,awake,awake,EC,0,sub-1033_task-awake_acq-EC_eeg.vhdr,posterior,18,0.0052883976687673325,0.008582482323135032
1033,awake,awake,EC,0,sub-1033_task-awake_acq-EC_eeg.vhdr,centro_posterior,32,0.016269665739806333,0.024085077153418958
1033,awake,awake,EC,0,sub-1033_task-awake_acq-EC_eeg.vhdr,frontotemporal,30,0.033942531313472496,0.04815807922499544
1033,sed2,sed2,rest,1,sub-1033_task-sed2_acq-rest_run-1_eeg.vhdr,all_eeg,62,0.005912168400972646,0.0027651238743010742
1033,sed2,sed2,rest,1,sub-1033_task-sed2_acq-rest_run-1_eeg.vhdr,posterior,18,0.006038137111877962,0.0028502360236481116
1033,sed2,sed2,rest,1,sub-1033_task-sed2_acq-rest_run-1_eeg.vhdr,centro_posterior,32,0.006659843987454358,0.003297179899578111
1033,sed2,sed2,rest,1,sub-1033_task-sed2_acq-rest_run-1_eeg.vhdr,frontotemporal,30,0.005608331753995457,0.0025489096208908602
1033,sed2,sed2,rest,2,sub-1033_task-sed2_acq-rest_run-2_eeg.vhdr,all_eeg,62,0.007374474644868426,0.0031907472453798335
1033,sed2,sed2,rest,2,sub-1033_task-sed2_acq-rest_run-2_eeg.vhdr,posterior,18,0.007728383398199908,0.002754005898663267
1033,sed2,sed2,rest,2,sub-1033_task-sed2_acq-rest_run-2_eeg.vhdr,centro_posterior,32,0.00822449363367568,0.0034959030208310538
1033,sed2,sed2,rest,2,sub-1033_task-sed2_acq-rest_run-2_eeg.vhdr,frontotemporal,30,0.006866095322792753,0.0030082396916732363
1033,sed2,sed2,rest,3,sub-1033_task-sed2_acq-rest_run-3_eeg.vhdr,all_eeg,62,0.004862058447087755,0.0022903214604113667
1033,sed2,sed2,rest,3,sub-1033_task-sed2_acq-rest_run-3_eeg.vhdr,posterior,18,0.004764663848688445,0.0021586297259577176
1033,sed2,sed2,rest,3,sub-1033_task-sed2_acq-rest_run-3_eeg.vhdr,centro_posterior,32,0.005794758727396108,0.0029868710740679877
1033,sed2,sed2,rest,3,sub-1033_task-sed2_acq-rest_run-3_eeg.vhdr,frontotemporal,30,0.004258519279946621,0.001839592557917833
1033,sed,sed,rest,1,sub-1033_task-sed_acq-rest_run-1_eeg.vhdr,all_eeg,62,0.04409476890181235,0.12558860099580027
1033,sed,sed,rest,1,sub-1033_task-sed_acq-rest_run-1_eeg.vhdr,posterior,18,0.00850008533109375,0.010937020095964483
1033,sed,sed,rest,1,sub-1033_task-sed_acq-rest_run-1_eeg.vhdr,centro_posterior,32,0.017522053852769816,0.04214384841495713
1033,sed,sed,rest,1,sub-1033_task-sed_acq-rest_run-1_eeg.vhdr,frontotemporal,30,0.05412764348051655,0.1570942538938758
1033,sed,sed,rest,2,sub-1033_task-sed_acq-rest_run-2_eeg.vhdr,all_eeg,62,0.009227937523956429,0.011498931832092484
1033,sed,sed,rest,2,sub-1033_task-sed_acq-rest_run-2_eeg.vhdr,posterior,18,0.0028326026328598253,0.0020626140346290196
1033,sed,sed,rest,2,sub-1033_task-sed_acq-rest_run-2_eeg.vhdr,centro_posterior,32,0.005659902784810369,0.006170870117918259
