channel_set,comparison,metric,n,awake_mean,target_mean,mean_diff_awake_minus_target,paired_d,p,auc_awake_vs_target
centro_posterior,awake_vs_sed,Pi,20,0.6624472573839664,0.4538412469718428,0.2086060104121234,1.1562219007783576,5.4366890883930525e-05,0.9500000000000001
centro_posterior,awake_vs_sed,Access_all,20,0.3025316455696202,0.09449614568478416,0.2080354998848361,2.301671993421108,3.2965874525597047e-09,0.9525
centro_posterior,awake_vs_sed,R,20,0.4273221208302642,0.42158760751402713,0.005734513316237033,0.05744498016710561,0.8000160175511298,0.4825
centro_posterior,awake_vs_sed,D_eff,20,3.412775039521319,3.805941260519293,-0.3931662209979733,-0.2304004976785787,0.3157694513274807,0.47000000000000003
centro_posterior,awake_vs_sed,M_tau,20,0.03128093377477088,0.02973870274536,0.001542231029410882,0.21216391247641395,0.35462258118861745,0.515
centro_posterior,awake_vs_sed,gamma_rel_power,20,0.019300385071325237,0.007386429524837601,0.011913955546487639,0.7557405979965038,0.0031450489304172386,0.8049999999999999
centro_posterior,awake_vs_sed,hf_rel_power,20,0.03206011084127671,0.021860063713018855,0.010200047128257863,0.2761400982341795,0.2319087975720289,0.5975
centro_posterior,awake_vs_sed2,Pi,20,0.6624472573839664,0.45888405820968436,0.20356319917428184,1.1768072577229578,4.434869442269316e-05,1.0
centro_posterior,awake_vs_sed2,Access_all,20,0.3025316455696202,0.09780231543237325,0.20472933013724703,2.5669544183404103,5.456506519247658e-10,1.0
centro_posterior,awake_vs_sed2,R,20,0.4273221208302642,0.4313945943388283,-0.004072473508564142,-0.04161918285251373,0.8543182501820293,0.47
centro_posterior,awake_vs_sed2,D_eff,20,3.412775039521319,3.6915189619679962,-0.27874392244667606,-0.3849716858492369,0.10137531318863359,0.355
centro_posterior,awake_vs_sed2,M_tau,20,0.03128093377477088,0.02894882914391732,0.0023321046308535653,0.28207122543001867,0.22241114438655113,0.545
centro_posterior,awake_vs_sed2,gamma_rel_power,20,0.019300385071325237,0.005662503758249382,0.013637881313075856,0.8537646670498024,0.0011606716788784906,0.8575
centro_posterior,awake_vs_sed2,hf_rel_power,20,0.03206011084127671,0.023632799502152253,0.008427311339124464,0.21966674096389907,0.3382577525458052,0.5975
frontotemporal,awake_vs_sed,Pi,20,0.6624472573839664,0.45401815832504316,0.2084290990589231,1.4701196033712225,2.708693590948839e-06,1.0
frontotemporal,awake_vs_sed,Access_all,20,0.2905063291139241,0.07194092827004218,0.21856540084388185,2.928201819111653,5.845683169356006e-11,1.0
frontotemporal,awake_vs_sed,R,20,0.3830746200127629,0.38857648408386297,-0.005501864071100165,-0.0661763434433768,0.7704788915925739,0.405
frontotemporal,awake_vs_sed,D_eff,20,4.261908276196404,4.0261554540671085,0.2357528221292955,0.1412883165665705,0.5350075366061554,0.69
frontotemporal,awake_vs_sed,M_tau,20,0.02397773880291127,0.024985452963814984,-0.0010077141609037177,-0.15612121974265156,0.4935124581931158,0.33249999999999996
frontotemporal,awake_vs_sed,gamma_rel_power,20,0.02632233951932985,0.008097390129052072,0.01822494939027778,0.9677232083638098,0.0003626790744018873,0.8825
frontotemporal,awake_vs_sed,hf_rel_power,20,0.05325475607521407,0.019040956342803245,0.034213799732410836,0.7322956034924345,0.003984029970021935,0.76
frontotemporal,awake_vs_sed2,Pi,20,0.6624472573839664,0.4594876186398344,0.20295963874413184,1.3556619032851716,7.862123060110732e-06,0.95
frontotemporal,awake_vs_sed2,Access_all,20,0.2905063291139241,0.07409465935477497,0.21641166975914908,2.5999348852079205,4.4063752307698786e-10,0.955
frontotemporal,awake_vs_sed2,R,20,0.3830746200127629,0.40552327797710497,-0.02244865796434209,-0.2076105500916108,0.36481359742575314,0.395
frontotemporal,awake_vs_sed2,D_eff,20,4.261908276196404,4.128390848737346,0.13351742745905873,0.11745471155534946,0.6054693909453632,0.51
