dataset,subject,condition,band,filename,run,source,metric,first,second,eyes,recording
Chennu,7,mild,alpha,07-2010-anest 20100226 133.008.set,,phase_only,D_eff,8.08169397256123,8.418752822473936,,
Chennu,7,mild,alpha,07-2010-anest 20100226 133.008.set,,phase_only,M_tau,0.0027708787405146523,0.002392681609993031,,
Chennu,7,moderate,alpha,07-2010-anest 20100226 133.021.set,,phase_only,Pi,0.9540229885057472,0.9425287356321839,,
Chennu,7,moderate,alpha,07-2010-anest 20100226 133.021.set,,phase_only,R,0.1053441304731588,0.09348142832068138,,
Chennu,7,moderate,alpha,07-2010-anest 20100226 133.021.set,,phase_only,D_eff,8.750888685904757,8.43307749387705,,
Chennu,7,moderate,alpha,07-2010-anest 20100226 133.021.set,,phase_only,M_tau,0.003198433518456772,0.002491363718158551,,
Chennu,7,recovery,alpha,07-2010-anest 20100226 133.027.set,,phase_only,Pi,0.6436781609195402,0.6321839080459771,,
Chennu,7,recovery,alpha,07-2010-anest 20100226 133.027.set,,phase_only,R,0.22779351073307522,0.18785912659045775,,
Chennu,7,recovery,alpha,07-2010-anest 20100226 133.027.set,,phase_only,D_eff,4.445003180892466,5.693971226403082,,
Chennu,7,recovery,alpha,07-2010-anest 20100226 133.027.set,,phase_only,M_tau,0.0028879690180829065,0.0033870566219179592,,
Chennu,8,baseline,alpha,08-2010-anest 20100301 095.004.set,,phase_only,Pi,0.9310344827586207,0.7241379310344828,,
Chennu,8,baseline,alpha,08-2010-anest 20100301 095.004.set,,phase_only,R,0.16266527432750916,0.16958139548796528,,
Chennu,8,baseline,alpha,08-2010-anest 20100301 095.004.set,,phase_only,D_eff,8.765908582338566,7.710015163109401,,
Chennu,8,baseline,alpha,08-2010-anest 20100301 095.004.set,,phase_only,M_tau,0.004404276933348938,0.00406548815366651,,
Chennu,8,mild,alpha,08-2010-anest 20100301 095.010.set,,phase_only,Pi,0.8505747126436782,0.7471264367816093,,
Chennu,8,mild,alpha,08-2010-anest 20100301 095.010.set,,phase_only,R,0.17925513370802823,0.17976375561146962,,
Chennu,8,mild,alpha,08-2010-anest 20100301 095.010.set,,phase_only,D_eff,6.9396973735170855,6.778093654759828,,
Chennu,8,mild,alpha,08-2010-anest 20100301 095.010.set,,phase_only,M_tau,0.004136994001715342,0.003890460172309748,,
Chennu,8,moderate,alpha,08-2010-anest 20100301 095.015.set,,phase_only,Pi,0.5517241379310345,0.45977011494252884,,
Chennu,8,moderate,alpha,08-2010-anest 20100301 095.015.set,,phase_only,R,0.11113641709522284,0.10280321752669311,,
Chennu,8,moderate,alpha,08-2010-anest 20100301 095.015.set,,phase_only,D_eff,9.101741715777056,9.225841509986726,,
Chennu,8,moderate,alpha,08-2010-anest 20100301 095.015.set,,phase_only,M_tau,0.0028600457488647136,0.0026000494531626174,,
Chennu,8,recovery,alpha,08-2010-anest 20100301 095.028.set,,phase_only,Pi,0.7701149425287357,0.7586206896551724,,
