source,dataset,band,condition,subject,metric,run1,run2
phase_only,DS005620,alpha,sed2,1016,R,0.1139514451135255,0.1088748692040019
phase_only,DS005620,alpha,sed2,1017,R,0.1083132495943252,0.0983836486118773
phase_only,DS005620,alpha,sed2,1022,R,0.1159428454994242,0.1205373399369879
phase_only,DS005620,alpha,sed2,1024,R,0.1069557009120114,0.1055569898930364
phase_only,DS005620,alpha,sed2,1033,R,0.0880230439965673,0.0892413496506334
phase_only,DS005620,alpha,sed2,1045,R,0.1021053179300638,0.1003530545694511
phase_only,DS005620,alpha,sed2,1046,R,0.1262853186830518,0.1188785409731646
phase_only,DS005620,alpha,sed2,1054,R,0.1312005977089639,0.1019301401584065
phase_only,DS005620,alpha,sed2,1055,R,0.1215253415566876,0.1228528304095225
phase_only,DS005620,alpha,sed2,1057,R,0.1277259238836252,0.0939823435854789
phase_only,DS005620,alpha,sed2,1060,R,0.1457425518933365,0.1075703739557124
phase_only,DS005620,alpha,sed2,1061,R,0.1312032149856422,0.1785220514146518
phase_only,DS005620,alpha,sed2,1062,R,0.1110806077596006,0.1139539990407403
phase_only,DS005620,alpha,sed2,1064,R,0.1289618190500674,0.1435927145866252
phase_only,DS005620,alpha,sed2,1067,R,0.1512448657239565,0.1597208164248739
phase_only,DS005620,alpha,sed2,1071,R,0.1677042295446639,0.1706687904875411
phase_only,DS005620,alpha,sed2,1074,R,0.1229089190707642,0.127494484558286
phase_only,DS005620,alpha,sed2,1010,D_eff,7.543932863813183,8.366306741498622
phase_only,DS005620,alpha,sed2,1016,D_eff,7.620931015719266,8.246695438984002
phase_only,DS005620,alpha,sed2,1017,D_eff,8.514922190316483,9.316933816924506
phase_only,DS005620,alpha,sed2,1022,D_eff,7.344945652851891,6.407312054847023
phase_only,DS005620,alpha,sed2,1024,D_eff,8.591223995257021,8.381210967348878
phase_only,DS005620,alpha,sed2,1033,D_eff,8.052640275419918,8.081778537873078
phase_only,DS005620,alpha,sed2,1045,D_eff,6.92800807006325,7.329761063064744
phase_only,DS005620,alpha,sed2,1046,D_eff,6.590291485016723,6.202954147797819
phase_only,DS005620,alpha,sed2,1054,D_eff,7.42791681860517,8.235945160604132
phase_only,DS005620,alpha,sed2,1055,D_eff,7.940812162809854,8.395164611353383
phase_only,DS005620,alpha,sed2,1057,D_eff,6.907001635106911,8.904189369455372
phase_only,DS005620,alpha,sed2,1060,D_eff,5.393103407111241,7.50020831612684
phase_only,DS005620,alpha,sed2,1061,D_eff,7.873977578445514,5.2462519692661616
phase_only,DS005620,alpha,sed2,1062,D_eff,8.557651347083258,8.574713667623817
phase_only,DS005620,alpha,sed2,1064,D_eff,7.520672889803188,8.175011007110351
phase_only,DS005620,alpha,sed2,1067,D_eff,6.785899021044226,6.890464658282468
phase_only,DS005620,alpha,sed2,1071,D_eff,7.717248179425025,7.264086033561474
phase_only,DS005620,alpha,sed2,1074,D_eff,7.916016676667891,9.071272104228289
phase_only,DS005620,alpha,sed2,1010,M_tau,0.0033173596555303,0.0027674739446831
phase_only,DS005620,alpha,sed2,1016,M_tau,0.003023581526136,0.0031652104547031
phase_only,DS005620,alpha,sed2,1017,M_tau,0.0029319894726701,0.0027041677003872
phase_only,DS005620,alpha,sed2,1022,M_tau,0.0036379505313247,0.0033612444911416
phase_only,DS005620,alpha,sed2,1024,M_tau,0.003059027052432,0.0028850998369286
phase_only,DS005620,alpha,sed2,1033,M_tau,0.0020900446767037,0.0020733340615329
phase_only,DS005620,alpha,sed2,1045,M_tau,0.0028530315234749,0.0027701886745938
phase_only,DS005620,alpha,sed2,1046,M_tau,0.0041738331535621,0.0029585050795479
phase_only,DS005620,alpha,sed2,1054,M_tau,0.0033177802048581,0.0028284736848763
phase_only,DS005620,alpha,sed2,1055,M_tau,0.0037456345175972,0.0092705299467169
phase_only,DS005620,alpha,sed2,1057,M_tau,0.003743810307868,0.0023514773687841
phase_only,DS005620,alpha,sed2,1060,M_tau,0.0040846235208841,0.0031564833304451
phase_only,DS005620,alpha,sed2,1061,M_tau,0.0038157907709529,0.0038733648776451
phase_only,DS005620,alpha,sed2,1062,M_tau,0.0052357904772681,0.0036562900576117
phase_only,DS005620,alpha,sed2,1064,M_tau,0.0045168006585255,0.0116164190732429
phase_only,DS005620,alpha,sed2,1067,M_tau,0.0052789426230663,0.0053972341463137
phase_only,DS005620,alpha,sed2,1071,M_tau,0.0120490079688405,0.0146526002206047
phase_only,DS005620,alpha,sed2,1074,M_tau,0.0037526047532604,0.0099291313030192
phase_only,DS005620,gamma,sed,1010,Pi,0.293103448275862,0.3333333333333332
phase_only,DS005620,gamma,sed,1016,Pi,0.3448275862068966,0.3735632183908045
phase_only,DS005620,gamma,sed,1017,Pi,0.5229885057471264,0.5344827586206896
phase_only,DS005620,gamma,sed,1022,Pi,0.5919540229885056,0.5057471264367815
phase_only,DS005620,gamma,sed,1024,Pi,0.632183908045977,0.5402298850574713
phase_only,DS005620,gamma,sed,1033,Pi,0.4195402298850574,0.3045977011494252
phase_only,DS005620,gamma,sed,1036,Pi,0.2241379310344827,0.1666666666666666
phase_only,DS005620,gamma,sed,1045,Pi,0.0977011494252873,0.1091954022988505
phase_only,DS005620,gamma,sed,1046,Pi,0.82183908045977,0.4597701149425287
phase_only,DS005620,gamma,sed,1054,Pi,0.2471264367816091,0.5689655172413792
phase_only,DS005620,gamma,sed,1055,Pi,0.7988505747126436,0.8793103448275862
phase_only,DS005620,gamma,sed,1057,Pi,0.396551724137931,0.2068965517241379
phase_only,DS005620,gamma,sed,1060,Pi,0.0057471264367816,0.0
phase_only,DS005620,gamma,sed,1061,Pi,0.5689655172413792,0.3563218390804597
phase_only,DS005620,gamma,sed,1062,Pi,0.0459770114942528,0.0804597701149425
phase_only,DS005620,gamma,sed,1064,Pi,0.4885057471264368,0.4885057471264367
phase_only,DS005620,gamma,sed,1067,Pi,0.1551724137931034,0.0747126436781609
phase_only,DS005620,gamma,sed,1068,Pi,0.5919540229885056,0.5229885057471265
phase_only,DS005620,gamma,sed,1071,Pi,0.0747126436781609,0.5747126436781609
phase_only,DS005620,gamma,sed,1074,Pi,0.3850574712643677,0.6379310344827585
phase_only,DS005620,gamma,sed,1010,R,0.1010085444802092,0.146312086194372
phase_only,DS005620,gamma,sed,1016,R,0.076671481141404,0.0743382985790508
phase_only,DS005620,gamma,sed,1017,R,0.0928404311716728,0.0919162775781161
phase_only,DS005620,gamma,sed,1022,R,0.0876577337874672,0.0876735000797225
phase_only,DS005620,gamma,sed,1024,R,0.0894941178611423,0.0835755600375746
phase_only,DS005620,gamma,sed,1033,R,0.1065861121997889,0.0913653433435523
phase_only,DS005620,gamma,sed,1036,R,0.0862494999216257,0.0846515515761164
phase_only,DS005620,gamma,sed,1045,R,0.082131655000006,0.102426168385827
phase_only,DS005620,gamma,sed,1046,R,0.1001323535465096,0.182099554385265
phase_only,DS005620,gamma,sed,1054,R,0.0989597987314783,0.1069784725144548
phase_only,DS005620,gamma,sed,1055,R,0.1201173001808822,0.1121759953329672
phase_only,DS005620,gamma,sed,1057,R,0.0933975493693275,0.0844391395933831
phase_only,DS005620,gamma,sed,1060,R,0.0995931433082999,0.0908668798075722
phase_only,DS005620,gamma,sed,1061,R,0.0995752346372835,0.1280638647426556
phase_only,DS005620,gamma,sed,1062,R,0.0896882101532057,0.0987234390361786
phase_only,DS005620,gamma,sed,1064,R,0.0846172219137504,0.0860403460650822
phase_only,DS005620,gamma,sed,1067,R,0.130291082319723,0.1081324078009242
phase_only,DS005620,gamma,sed,1068,R,0.1184549584972924,0.3740498912461165
phase_only,DS005620,gamma,sed,1071,R,0.0953314464243867,0.1211213692560212
phase_only,DS005620,gamma,sed,1074,R,0.0790953683643367,0.0958040743315675
phase_only,DS005620,gamma,sed,1010,D_eff,13.793599790653666,15.960718313895956
phase_only,DS005620,gamma,sed,1016,D_eff,13.324213331522593,14.10422405347513
phase_only,DS005620,gamma,sed,1017,D_eff,12.174758715914232,11.474112752780414
phase_only,DS005620,gamma,sed,1022,D_eff,12.767188425961084,12.911790262639707
phase_only,DS005620,gamma,sed,1024,D_eff,11.236657510060498,11.44208033609212
phase_only,DS005620,gamma,sed,1033,D_eff,15.830458626548673,16.251930959985483
phase_only,DS005620,gamma,sed,1036,D_eff,13.67073418358743,14.61940734737684
phase_only,DS005620,gamma,sed,1045,D_eff,13.08532758883928,12.538146758901547
phase_only,DS005620,gamma,sed,1046,D_eff,13.639008476469892,13.804873664481336
phase_only,DS005620,gamma,sed,1054,D_eff,12.410645634936374,16.06898114739688
phase_only,DS005620,gamma,sed,1055,D_eff,14.075732160174487,14.224257584962356
phase_only,DS005620,gamma,sed,1057,D_eff,13.49232082089018,13.527012183879648
phase_only,DS005620,gamma,sed,1060,D_eff,12.524978447985724,12.767499875714806
phase_only,DS005620,gamma,sed,1061,D_eff,11.681323256457471,3.142590275678016
phase_only,DS005620,gamma,sed,1062,D_eff,12.759301232398558,13.263489392346276
phase_only,DS005620,gamma,sed,1064,D_eff,12.040445792219506,12.04379197051381
phase_only,DS005620,gamma,sed,1067,D_eff,12.678730908236515,12.8953148843819
phase_only,DS005620,gamma,sed,1068,D_eff,10.913349104196056,11.074192687146892
phase_only,DS005620,gamma,sed,1071,D_eff,12.205525556302655,9.900910250447533
phase_only,DS005620,gamma,sed,1074,D_eff,16.056170020796806,12.11108072412385
phase_only,DS005620,gamma,sed,1010,M_tau,0.0104553672197235,0.0058863795651968
phase_only,DS005620,gamma,sed,1016,M_tau,0.0016955570414778,0.0016375354287859
phase_only,DS005620,gamma,sed,1017,M_tau,0.0027495689798401,0.0023450199219234
phase_only,DS005620,gamma,sed,1022,M_tau,0.0022105444540859,0.0023154645702417
phase_only,DS005620,gamma,sed,1024,M_tau,0.0021868346118824,0.001952213669212
phase_only,DS005620,gamma,sed,1033,M_tau,0.0041517621176891,0.0028696597916876
phase_only,DS005620,gamma,sed,1036,M_tau,0.0021928274602069,0.002011416419527
phase_only,DS005620,gamma,sed,1045,M_tau,0.0018455225695408,0.0034596535244401
phase_only,DS005620,gamma,sed,1046,M_tau,0.0068462077884992,0.0154985140608622
phase_only,DS005620,gamma,sed,1054,M_tau,0.0035593333469264,0.0033672382166534
phase_only,DS005620,gamma,sed,1055,M_tau,0.0070863506772122,0.0042155860027279
phase_only,DS005620,gamma,sed,1057,M_tau,0.0024315545911885,0.0020067012358233
