scope,source,band,metric,n,pearson_r,spearman_rho,icc_3_1,mean_abs_delta,mean_signed_delta_second_minus_first
run1_vs_run2_sed,phase_only,gamma,Pi,20,0.675357069672392,0.5408048520847241,0.6738068679535414,0.1275862068965517,0.000574712643678163
run1_vs_run2_sed,phase_only,gamma,R,20,0.4732530414989121,0.6406015037593984,0.13430624260599427,0.02832097522629733,0.02094304884383639
run1_vs_run2_sed,phase_only,gamma,D_eff,20,0.5016764109477748,0.7142857142857143,0.37633397136352315,1.2919232297413497,-0.311703207896559
run1_vs_run2_sed,phase_only,gamma,M_tau,20,0.16311660125520594,0.6586466165413534,0.054645164180971886,0.0035431767232804055,0.002088889763608675
run1_vs_run2_sed2,phase_only,gamma,Pi,18,0.7852832991576416,0.8033041855228866,0.7757512825521503,0.11744639376218322,-0.028752436647173512
run1_vs_run2_sed2,phase_only,gamma,R,18,0.2162216393294195,0.5830753353973168,0.08559911206986082,0.032461459230928795,0.018955277491085193
run1_vs_run2_sed2,phase_only,gamma,D_eff,18,0.698697676597006,0.7110423116615068,0.647637348198294,1.0504094696794404,-0.17378951152311098
run1_vs_run2_sed2,phase_only,gamma,M_tau,18,0.16736118041985162,0.5376676986584108,0.13080384149587274,0.0035975522877267053,0.001286154883645228
run1_vs_run2_sed,csd_phase_only,alpha,Pi,20,0.7749654736485607,0.7739752333729919,0.7720979157619765,0.11903735632183912,-0.0006465517241378948
run1_vs_run2_sed,csd_phase_only,alpha,R,20,0.3116650096249506,0.4917293233082706,0.2501449682375553,0.026861662518183792,0.013306999978860357
run1_vs_run2_sed,csd_phase_only,alpha,D_eff,20,-0.11091382489562263,0.47518796992481205,-0.06589341555582487,4.930700482338787,4.439366083968624
run1_vs_run2_sed,csd_phase_only,alpha,M_tau,20,0.7039256520887597,0.6992481203007518,0.6636349045569703,0.0017534169203321452,0.0003700801443076751
run1_vs_run2_sed2,csd_phase_only,alpha,Pi,18,0.7661019083670855,0.7258648360187524,0.7444457569672244,0.13206627680311891,0.04922027290448342
run1_vs_run2_sed2,csd_phase_only,alpha,R,18,0.7657164925472186,0.7296181630546955,0.7582111401091552,0.016842232544471814,0.0037386308233374587
run1_vs_run2_sed2,csd_phase_only,alpha,D_eff,18,0.6449654445852483,0.7337461300309597,0.6448041361400388,1.3185157143523827,0.032297416446285844
run1_vs_run2_sed2,csd_phase_only,alpha,M_tau,18,0.8144362638895042,0.7110423116615068,0.8096834621486255,0.0014627406205251052,0.00025805565201215
run1_vs_run2_sed,csd_phase_only,gamma,Pi,20,0.8676153005113016,0.84994364792175,0.862990586180253,0.09953304597701144,0.015050287356321843
run1_vs_run2_sed,csd_phase_only,gamma,R,20,0.7782940486173383,0.7774436090225564,0.515981084158195,0.017474706849996597,0.014102406141323288
run1_vs_run2_sed,csd_phase_only,gamma,D_eff,20,0.6380608401553949,0.793984962406015,0.4900596955581375,2.6888351223585287,-1.901745120335918
run1_vs_run2_sed,csd_phase_only,gamma,M_tau,20,0.8537977651184436,0.8030075187969924,0.7555272927796745,0.00089649415085843,0.0006001304072946899
run1_vs_run2_sed2,csd_phase_only,gamma,Pi,18,0.8957998131151498,0.8988648090815273,0.8721183948391993,0.09161793372319695,0.024366471734892772
run1_vs_run2_sed2,csd_phase_only,gamma,R,18,0.5221824721692421,0.5376676986584108,0.4016197266724741,0.018382984062949484,0.012864189894492273
run1_vs_run2_sed2,csd_phase_only,gamma,D_eff,18,0.8979273649786116,0.9318885448916409,0.8451263714325228,1.5834842668713354,-0.9985281387839025
run1_vs_run2_sed2,csd_phase_only,gamma,M_tau,18,0.7864604538565518,0.7853457172342622,0.7111649244977988,0.001015449907305061,0.0006647249586859721
