variant_id,variant_label,graph_type,control_id,replicate,K,n_nodes_lcc,n_edges,backbone_nodes,seed,baseline_R_global,baseline_R_backbone,baseline_R_complement,baseline_A_R,baseline_M_tau,baseline_D_eff,baseline_D_eff_norm,baseline_window_start_s,baseline_window_stop_s,event_R_global,event_R_backbone,event_R_complement,event_A_R,event_M_tau,event_D_eff,event_D_eff_norm,event_window_start_s,event_window_stop_s,delta_R_global,delta_R_backbone,delta_R_complement,delta_A_R,delta_M_tau,delta_D_eff,delta_D_eff_norm,Xi_baseline,Xi_event,delta_Xi
brc_v3_20k_fibercount_conf25,20k FC 25%,degree_strength_preserving,1,0,3.2,787,4108,79,20503626,0.07948072999715805,0.06566203385591507,0.09251628816127777,-0.026854252442717552,0.0003098725574091077,2.802939845382678,0.0035615499941330088,2.0,4.48,0.03759152069687843,0.28242531418800354,0.02781413495540619,0.25461113452911377,0.00041600814438425004,3.079867142698853,0.003913427119058263,5.0,8.0,-0.04188920930027962,0.21676328033208847,-0.06470215320587158,0.2814653869718313,0.00010613558697514236,0.27692729731617494,0.0003518771249252542,2.600000000000001,8.23333333333333,5.633333333333329
brc_v3_20k_fibercount_conf25,20k FC 25%,degree_strength_preserving,2,0,3.2,787,4108,79,20603626,0.06821397691965103,0.15814019739627838,0.059218667447566986,0.0989215299487114,0.0002171052183257416,2.81944870024637,0.0035825269380512963,2.0,4.48,0.04331349954009056,0.10057122260332108,0.03996986895799637,0.060601361095905304,0.000493151368573308,3.114396058997005,0.0039573012185476555,5.0,8.0,-0.02490047737956047,-0.057568974792957306,-0.019248798489570618,-0.03832016885280609,0.0002760461502475664,0.2949473587506346,0.00037477428049635924,2.600000000000001,8.23333333333333,5.633333333333329
brc_v3_20k_fibercount_conf25,20k FC 25%,degree_strength_preserving,3,0,3.2,787,4108,79,20703626,0.024824032559990883,0.06003258749842644,0.03096012771129608,0.029072457924485207,9.995084110414609e-05,2.7695775626685366,0.0035191582753094494,2.0,4.48,0.07678249478340149,0.27529269456863403,0.056161943823099136,0.219130739569664,0.00011285015352768824,3.0172712922167784,0.0038338898249260208,5.0,8.0,0.051958462223410606,0.2152601070702076,0.025201816111803055,0.1900582816451788,1.2899312423542142e-05,0.24769372954824176,0.0003147315496165714,2.600000000000001,8.23333333333333,5.633333333333329
brc_v3_20k_fibercount_conf25,20k FC 25%,degree_strength_preserving,4,0,3.2,787,4108,79,20803626,0.16304521262645721,0.322026789188385,0.14728420972824097,0.17474259436130524,0.0001756929123075679,2.795409761428198,0.003551981907786783,2.0,4.48,0.10541250556707382,0.34475284814834595,0.08114554733037949,0.2636072635650635,0.0012456041295081377,3.0665807122166155,0.003896544742333692,5.0,8.0,-0.05763270705938339,0.022726058959960938,-0.06613866239786148,0.08886466920375824,0.0010699112172005698,0.27117095078841746,0.0003445628345469091,2.600000000000001,8.23333333333333,5.633333333333329
brc_v3_20k_fibercount_conf25,20k FC 25%,degree_strength_preserving,5,0,3.2,787,4108,79,20903626,0.05430523306131363,0.11545922607183456,0.052433960139751434,0.06302526593208313,7.532635936513543e-05,2.816326716870949,0.0035785599960240773,2.0,4.48,0.056504249572753906,0.16084440052509308,0.04640526697039604,0.11443913727998734,4.538004577625543e-05,3.098516224104176,0.0039371235376164885,5.0,8.0,0.002199016511440277,0.045385174453258514,-0.0060286931693553925,0.051413871347904205,-2.9946313588880002e-05,0.2821895072332272,0.0003585635415924112,2.600000000000001,8.23333333333333,5.633333333333329
brc_v3_20k_fibercount_conf25,20k FC 25%,degree_strength_preserving,6,0,3.2,787,4108,79,21003626,0.07416712492704391,0.12392425537109375,0.07124581933021545,0.052678432315588,0.00011849565635202453,2.8085353787305976,0.003568659947561115,2.0,4.48,0.06273046135902405,0.15737207233905792,0.05262576416134834,0.10474631935358047,0.0002055785880656913,3.1034387680266406,0.003943378358356595,5.0,8.0,-0.011436663568019867,0.03344781696796417,-0.01862005516886711,0.05206788703799248,8.708293171366677e-05,0.2949033892960431,0.0003747184107954801,2.600000000000001,8.23333333333333,5.633333333333329
brc_v3_20k_fibercount_conf25,20k FC 25%,degree_strength_preserving,7,0,3.2,787,4108,79,21103626,0.1352691799402237,0.4377796947956085,0.10155721008777618,0.33622246980667114,0.0008276615408249199,2.8926405010158827,0.0036755279555475,2.0,4.48,0.15917760133743286,0.5099542737007141,0.1217731460928917,0.3881811499595642,4.5428649173118174e-05,3.125514872464849,0.003971429316982019,5.0,8.0,0.023908421397209167,0.07217457890510559,0.02021593600511551,0.051958680152893066,-0.0007822328916518018,0.2328743714489665,0.0002959013614345189,2.600000000000001,8.23333333333333,5.633333333333329
brc_v3_20k_fibercount_conf25,20k FC 25%,degree_strength_preserving,8,0,3.2,787,4108,79,21203626,0.035847295075654984,0.22908948361873627,0.016647780314087868,0.21244172751903534,0.00010140442464035004,2.7282351412781356,0.003466626608993819,2.0,4.48,0.08853999525308609,0.2942568361759186,0.06566041707992554,0.22859638929367065,0.0001744812325341627,2.9324997930324592,0.0037261750864453105,5.0,8.0,0.05269270017743111,0.06516735255718231,0.04901263676583767,0.016154661774635315,7.307680789381266e-05,0.20426465175432362,0.0002595484774514916,2.600000000000001,8.23333333333333,5.633333333333329
brc_v3_20k_fibercount_conf25,20k FC 25%,degree_strength_preserving,9,0,3.2,787,4108,79,21303626,0.060056839138269424,0.03570050373673439,0.06729128211736679,-0.031590789556503296,1.572742075950373e-05,2.8107726605859624,0.003571502745344298,2.0,4.48,0.02999904938042164,0.09026279300451279,0.030301323160529137,0.0599614679813385,0.00012518663424998522,3.031714574820857,0.0038522421535207843,5.0,8.0,-0.030057789757847786,0.0545622892677784,-0.036989958956837654,0.0915522575378418,0.00010945921349048149,0.22094191423489473,0.00028073940817648644,2.600000000000001,8.23333333333333,5.633333333333329
brc_v3_20k_fibercount_conf25,20k FC 25%,degree_strength_preserving,10,0,3.2,787,4108,79,21403626,0.06219175457954407,0.0778767541050911,0.06921932846307755,0.008657441474497318,0.00014702342741657048,2.8550736723692,0.003627793738715629,2.0,4.48,0.07488086819648743,0.07471851259469986,0.08593882620334625,-0.011220297776162624,0.0005027335719205439,3.0879914401676167,0.003923750241636108,5.0,8.0,0.01268911361694336,-0.0031582415103912354,0.016719497740268707,-0.019877739250659943,0.0003557101445039734,0.23291776779841689,0.00029595650292047913,2.600000000000001,8.23333333333333,5.633333333333329
