replicate,cross_d_recovery_late_minus_chronic,longitudinal_mean_delta
262,0.7098056165722605,-0.08300632740806409
263,-0.17375552230027658,0.0025808767531998534
264,0.3664367902553786,0.02067842804158486
265,0.3783458351670236,-0.05186735381398143
266,0.4062563972443162,0.03006814580725473
267,0.48258803037290243,-0.11951783291253916
268,0.07852565625099621,0.113703632960096
269,0.5061904136304756,0.05735828955032588
270,-0.3099097551764448,-0.10785889057566508
271,0.761809751857056,0.06905636478094729
272,0.6757830093578198,0.05645233610401328
273,0.41484647696997123,0.05015830548493089
274,-0.037658262250600566,0.025562392230818257
275,-0.25616096022253915,0.17017453654544726
276,-0.38733355449401297,0.08291280785730731
277,0.5714900386265994,0.042966412539869804
278,1.0103833516326932,0.18502076667640793
279,0.1113925200317485,-0.01677692156442423
280,0.5043170843712899,-0.043401006374214936
281,0.09959554659594512,-0.045203107684048706
282,0.5087582515374817,0.000540313933958752
283,-0.10233826921720629,-0.08641728170698994
284,0.16702468254968914,-0.2446594928368103
285,0.05918229810163069,0.10476553455171395
286,-0.48704566252859555,-0.0955957841005228
287,-0.3439802030142889,0.027118970212069562
288,0.7352152910052041,0.10864726428796226
289,-0.14480352512165143,0.08689118478159125
290,0.9975297183797732,0.06696564611909844
291,0.3911534030368002,-0.0417466288927244
292,0.37895548655529554,-0.09987978271803716
293,1.1333376644610804,0.015085133570311077
294,-0.25089225124290526,0.06756960612848936
295,0.05592741119409554,0.03946994446407729
296,0.0425834372606492,0.14016947836393634
297,0.010313535244640541,0.04291418061836372
298,0.2394571583253026,0.022067843459943236
299,0.6087090649628575,0.005421481948966769
300,0.06880187046119397,-0.14281317795070614
301,-1.068146217977717,-0.06286245673308494
302,0.5647094605036036,0.06015559248583115
303,0.17217259515243555,-0.03307511776155379
304,0.5566441466102542,-0.03306292050897522
305,0.6679793522727929,0.08835064675831408
306,0.005152550284733177,0.06476711244236127
307,0.49688616173509526,0.05370813411557012
308,1.422007119163642,0.028437769723866413
309,-0.49688937228363794,0.056501672495397975
310,-1.041059715489442,0.030324652505374552
311,0.16117246054118275,0.12335919279333514
312,-1.6373186213539297,0.04728185326611208
313,0.2836712755442217,-0.10441956149534908
314,0.26983879027869745,0.00308657407893203
315,0.6788529767951651,0.040249726908600486
316,1.0796647336035408,0.007902545824267517
317,-0.27049236425133516,0.08239763946362975
318,0.2615138222177956,-0.07789256840219928
319,-0.8516411657895755,-0.04441958205737779
320,-0.08462154594408924,0.04839479280269222
321,0.49400046579717943,0.020534343308234504
322,1.2834338730489596,0.05369413789271173
323,-0.3452217907333221,-0.009683912479818821
324,0.29416348897424804,0.014762076487251617
325,0.5703025092028521,-0.06654414385815875
326,0.5101711986535263,0.011908889804207918
327,0.3077355108242271,0.021932933867598578
328,0.04317977562555466,-0.04333267012056981
329,0.28435225767299754,0.03453034735866821
330,0.860950106797986,-0.005936282247097968
331,-0.1220532027031598,-0.0798143160015267
332,0.14800173451059065,0.036727321498026995
333,0.08749205503418701,-0.13011772971798632
334,0.04803395342868934,-0.05754877416432093
335,0.11947914970358113,0.020199926212188555
