variant_id,variant_label,graph_type,control_id,strength_rel_error_mean,strength_rel_error_median,strength_rel_error_max,n_nodes,n_edges,backbone_nodes,backbone_fraction,alpha_S_max,external_mass_mean,internal_mass_mean,internal_minus_external_mean,raw_backbone_internal_weight,raw_backbone_external_weight,raw_backbone_internal_fraction_of_incident,raw_backbone_internal_fraction_of_total,requested_swaps,completed_swaps,attempts
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_preserving,2,1.0611296787087283,0.4654029692470838,32.75,798,4275,80,0.10025062656641603,0.9876923076923078,0.7166582577517941,0.2833417422482059,-0.43331651550358813,4543.5,27588.0,0.24777096114519429,0.07351168566412918,51300.0,51300.0,58819.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_preserving,3,1.132840844209372,0.46478174603174605,84.33333333333333,798,4275,80,0.10025062656641603,0.9554589896795223,0.7173603277200179,0.282639672279982,-0.4347206554400359,4729.5,26847.0,0.26053544868616757,0.07652107788015823,51300.0,51300.0,58662.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_preserving,4,1.0326538405372043,0.4700892857142857,62.795918367346935,798,4275,80,0.10025062656641603,0.907624633431085,0.7327541338746058,0.2672458661253942,-0.4655082677492116,4785.5,28152.5,0.25371452807931394,0.07742713145057559,51300.0,51300.0,58720.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_preserving,5,0.9815440654806223,0.464327485380117,44.47826086956522,798,4275,80,0.10025062656641603,1.0,0.7180957084307218,0.28190429156927826,-0.43619141686144347,4692.5,27377.5,0.25528731723903436,0.07592243534256106,51300.0,51300.0,58869.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_preserving,6,1.0248788338250279,0.4840894304134382,24.64,798,4275,80,0.10025062656641603,0.9593777009507346,0.7206440732664168,0.2793559267335833,-0.44128814653283355,4641.5,26117.5,0.2622279346336916,0.07509727941235954,51300.0,51300.0,58943.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_preserving,7,1.0644564119985611,0.4680953438448442,30.962264150943398,798,4275,80,0.10025062656641603,0.9380097879282218,0.7408864829817129,0.2591135170182871,-0.48177296596342584,4080.5,25764.0,0.24056005895357407,0.06602056418014286,51300.0,51300.0,58707.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_preserving,8,1.0721119834231547,0.4730106500552597,44.91304347826087,798,4275,80,0.10025062656641603,0.9893617021276596,0.7482278872257447,0.25177211277425526,-0.4964557744514894,4332.5,29116.0,0.229348085016278,0.07009780524702094,51300.0,51300.0,58829.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_preserving,9,0.9442049848389938,0.4675990675990676,14.666666666666666,798,4275,80,0.10025062656641603,0.9674620390455531,0.7137325626960177,0.2862674373039823,-0.42746512539203535,4719.5,27636.5,0.25458860972879666,0.07635928259972656,51300.0,51300.0,58732.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_preserving,10,1.0010581756977888,0.4574920516949502,52.111111111111114,798,4275,80,0.10025062656641603,0.9396406513194834,0.7158612500748271,0.2841387499251728,-0.4317225001496543,4789.0,27955.5,0.2551853677381539,0.07748375979872667,51300.0,51300.0,58744.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_preserving,11,1.1502594631565215,0.4748434634115489,153.75,798,4275,80,0.10025062656641603,0.939112786314874,0.6958619510535614,0.30413804894643864,-0.3917239021071227,5271.5,27839.5,0.27468247248094835,0.08529038207955474,51300.0,51300.0,58968.0
