task_name,model,permutation,n_rows,n_subjects,positive_rate,roc_auc,average_precision,balanced_accuracy,accuracy,brier,log_loss
prelor_vs_lor_task2,gcc_regime_plus_confounds,18,50,25,0.5,0.3296,0.42810166635478003,0.46,0.46,0.31478113390427354,0.8496383903159607
prelor_vs_lor_task2,gcc_regime_plus_confounds,19,50,25,0.5,0.44160000000000005,0.46955914524669495,0.5,0.5,0.28968796113135004,0.7852097328546267
prelor_vs_lor_task2,gcc_regime_plus_confounds,20,50,25,0.5,0.7455999999999999,0.7487812766543591,0.6599999999999999,0.66,0.2070189660375786,0.5962519601943458
prelor_vs_lor_task2,gcc_regime_plus_confounds,21,50,25,0.5,0.56,0.5389850160423688,0.5,0.5,0.26330829583655174,0.736620211298693
prelor_vs_lor_task2,gcc_regime_plus_confounds,22,50,25,0.5,0.7568,0.8073066895642298,0.66,0.66,0.20832876618691143,0.6222164929697409
prelor_vs_lor_task2,gcc_regime_plus_confounds,23,50,25,0.5,0.38560000000000005,0.4235888316487061,0.44,0.44,0.31194631311874443,0.8446873638181145
prelor_vs_lor_task2,gcc_regime_plus_confounds,24,50,25,0.5,0.5648,0.5900669559091078,0.62,0.62,0.2676994744297414,0.7412002787900327
prelor_vs_lor_task2,gcc_regime_plus_confounds,25,50,25,0.5,0.40959999999999996,0.5159622304058689,0.5,0.5,0.2889144197243276,0.7798629695693522
prelor_vs_lor_task2,gcc_regime_plus_confounds,26,50,25,0.5,0.4672,0.46370223126838594,0.5,0.5,0.285346065094611,0.7753392986580521
prelor_vs_lor_task2,gcc_regime_plus_confounds,27,50,25,0.5,0.6528,0.6263092452740318,0.62,0.62,0.2456829770842557,0.7028003196836662
prelor_vs_lor_task2,gcc_regime_plus_confounds,28,50,25,0.5,0.5456,0.5253706118789798,0.54,0.54,0.2698062119521518,0.7453816777707266
prelor_vs_lor_task2,gcc_regime_plus_confounds,29,50,25,0.5,0.34720000000000006,0.4120524764728015,0.42000000000000004,0.42,0.3154818700749147,0.8505573963650812
prelor_vs_lor_task2,gcc_regime_plus_confounds,30,50,25,0.5,0.5168,0.5012126232402105,0.56,0.56,0.2913145204569427,0.85156726080872
prelor_vs_lor_task2,gcc_regime_plus_confounds,31,50,25,0.5,0.5328,0.526309606873423,0.56,0.56,0.28583523064771915,0.7923264208070997
prelor_vs_lor_task2,gcc_regime_plus_confounds,32,50,25,0.5,0.5711999999999999,0.6501806455777175,0.56,0.56,0.2633318090095761,0.7279126064785209
prelor_vs_lor_task2,gcc_regime_plus_confounds,33,50,25,0.5,0.48160000000000003,0.517547205382018,0.45999999999999996,0.46,0.29388067863058986,0.801486799563457
prelor_vs_lor_task2,gcc_regime_plus_confounds,34,50,25,0.5,0.6384000000000001,0.6156397274557247,0.5800000000000001,0.58,0.24932753930673024,0.7440703996415782
prelor_vs_lor_task2,gcc_regime_plus_confounds,35,50,25,0.5,0.5696,0.5617757291094845,0.62,0.62,0.25998745846510973,0.7400236144490505
prelor_vs_lor_task2,gcc_regime_plus_confounds,36,50,25,0.5,0.5599999999999999,0.5412542813511343,0.5,0.5,0.2745351043767691,0.7686933158331403
prelor_vs_lor_task2,gcc_regime_plus_confounds,37,50,25,0.5,0.48800000000000004,0.5200658509555232,0.5,0.5,0.2805028183683235,0.7655795105383079
prelor_vs_lor_task2,gcc_regime_plus_confounds,38,50,25,0.5,0.696,0.6741716254100591,0.6200000000000001,0.62,0.23320965688794054,0.7001430599611176
prelor_vs_lor_task2,gcc_regime_plus_confounds,39,50,25,0.5,0.496,0.537148245775109,0.54,0.54,0.29391412656226246,0.8171687428317354
prelor_vs_lor_task2,gcc_regime_plus_confounds,40,50,25,0.5,0.5536,0.5229416815327955,0.5800000000000001,0.58,0.2705985969293543,0.7594239302591548
prelor_vs_lor_task2,gcc_regime_plus_confounds,41,50,25,0.5,0.4576,0.4705026193870111,0.45999999999999996,0.46,0.2922452578243621,0.7914408734214032
prelor_vs_lor_task2,gcc_regime_plus_confounds,42,50,25,0.5,0.29279999999999995,0.4255006495061767,0.32,0.32,0.3108337414232014,0.8341291833325031
prelor_vs_lor_task2,gcc_regime_plus_confounds,43,50,25,0.5,0.5376,0.5540365506956881,0.56,0.56,0.27700753959667684,0.7699876324518315
prelor_vs_lor_task2,gcc_regime_plus_confounds,44,50,25,0.5,0.5136000000000001,0.4968343584575292,0.46,0.46,0.28312388632104,0.7825115478021489
prelor_vs_lor_task2,gcc_regime_plus_confounds,45,50,25,0.5,0.3696,0.42549789443302966,0.46,0.46,0.30342148352112064,0.8118153256346058
prelor_vs_lor_task2,gcc_regime_plus_confounds,46,50,25,0.5,0.5424,0.5128249618994337,0.56,0.56,0.2742404367497233,0.7761011766090883
prelor_vs_lor_task2,gcc_regime_plus_confounds,47,50,25,0.5,0.432,0.45989292590810715,0.54,0.54,0.298121465786077,0.8095291261493436
prelor_vs_lor_task2,gcc_regime_plus_confounds,48,50,25,0.5,0.40800000000000003,0.4385136387655227,0.42000000000000004,0.42,0.29614321788717707,0.8025461230809438
prelor_vs_lor_task2,gcc_regime_plus_confounds,49,50,25,0.5,0.6864,0.6201395599158979,0.72,0.72,0.23269298110650596,0.6981151184713497
prelor_vs_lor_task2,gcc_regime_plus_confounds,50,50,25,0.5,0.6576000000000001,0.6898187509543074,0.5800000000000001,0.58,0.23404789558380978,0.6628326843751283
prelor_vs_lor_task2,gcc_regime_plus_confounds,51,50,25,0.5,0.5935999999999999,0.6588845702690148,0.54,0.54,0.2593920231551741,0.7836279059727107
prelor_vs_lor_task2,gcc_regime_plus_confounds,52,50,25,0.5,0.4272,0.5050890757896201,0.38,0.38,0.30122059388541944,0.8103473223832832
prelor_vs_lor_task2,gcc_regime_plus_confounds,53,50,25,0.5,0.3312,0.4091803665577478,0.36,0.36,0.29842727681667364,0.7975935066905488
prelor_vs_lor_task2,gcc_regime_plus_confounds,54,50,25,0.5,0.7216,0.6766441643211536,0.74,0.74,0.21964004860776587,0.6699572017153532
prelor_vs_lor_task2,gcc_regime_plus_confounds,55,50,25,0.5,0.5168,0.5765366083025134,0.45999999999999996,0.46,0.2655271357780085,0.731276313284232
prelor_vs_lor_task2,gcc_regime_plus_confounds,56,50,25,0.5,0.5808,0.5519604575532918,0.52,0.52,0.26134492598613546,0.7293949383697393
prelor_vs_lor_task2,gcc_regime_plus_confounds,57,50,25,0.5,0.3712,0.4160082962902152,0.44,0.44,0.3051537237406542,0.822240503286356
prelor_vs_lor_task2,gcc_regime_plus_confounds,58,50,25,0.5,0.6192,0.5818980475917449,0.62,0.62,0.252743036508943,0.7104288373685123
prelor_vs_lor_task2,gcc_regime_plus_confounds,59,50,25,0.5,0.3648,0.46278906169014744,0.4,0.4,0.2958378704267074,0.7922825443825975
prelor_vs_lor_task2,gcc_regime_plus_confounds,60,50,25,0.5,0.6816,0.6509215595577833,0.6,0.6,0.2332672220965547,0.6761254660145049
prelor_vs_lor_task2,gcc_regime_plus_confounds,61,50,25,0.5,0.3232,0.438349563612894,0.32,0.32,0.30817639693836796,0.8170801186471733
prelor_vs_lor_task2,gcc_regime_plus_confounds,62,50,25,0.5,0.4848,0.5128904667810222,0.48,0.48,0.28532340956309515,0.7968863587417679
prelor_vs_lor_task2,gcc_regime_plus_confounds,63,50,25,0.5,0.42079999999999995,0.4428679273486005,0.5,0.5,0.30009703187415065,0.8076272599613311
