fold_id,model,n_test,mae,rmse,r2,spearman_rho,pearson_r
25,B_global_activity,12,3.0227134873271706,3.434270436737278,-0.9387748108461897,-0.04358883808553725,-0.012482055220854398
25,C_standard_eeg_fc,12,3.114429068999735,3.5316882841467323,-1.0503269265281023,0.06175085395451111,0.08115941055159911
25,D_p1_core_true_backbone,12,2.856656959684829,3.351103921104511,-0.846010546308279,-0.10897209521384314,0.0018172727158566881
25,E_standard_plus_p1,12,3.0143560872028914,3.57175662754545,-1.0971143133832628,-0.1779877555159438,0.001009146263133625
25,F_random_backbone_control,12,3.3665340851192216,3.6594515900845743,-1.2013565929050714,-0.018162015868973858,0.03701305171274065
26,A_clinical,12,1.843521707082999,2.3985694229396195,0.1024360998492202,0.4296453104648938,0.4967890476676443
26,B_global_activity,12,2.0814805703401964,2.501222241449391,0.023965082381971148,0.345250389071979,0.4500674636165689
26,C_standard_eeg_fc,12,2.5740908365571866,2.8843200491056153,-0.29791929466615086,0.22423478877870806,0.09624023211449435
26,D_p1_core_true_backbone,12,2.6366950686662887,3.118751107655584,-0.5174773780026245,0.2954204360100439,0.26014788606669476
26,E_standard_plus_p1,12,2.7604347690886506,3.0378184640457158,-0.43974117762901255,0.0605078001466355,0.07240444806879597
26,F_random_backbone_control,12,2.3009589385960285,2.7305521194183857,-0.16321965576151065,0.19931981224774045,0.26719460979220583
27,A_clinical,12,3.3390050723341638,5.106697147218884,0.05811807662614954,0.5479710273701817,0.26465208185488615
27,B_global_activity,12,3.9449239273106045,5.444832798041683,-0.07074326676769016,0.4602956629909526,0.04349602486410094
27,C_standard_eeg_fc,12,4.1152865612162115,5.598423237110737,-0.13200334959174587,0.07306280364935756,0.06097106227315992
27,D_p1_core_true_backbone,12,4.094314459387506,5.493045732345198,-0.08978966745411432,0.48221450408575983,0.17427781659803646
27,E_standard_plus_p1,12,4.156806840604069,5.618610520706661,-0.14018182152218794,-0.021918841094807264,0.044628800498013446
27,F_random_backbone_control,12,3.8397695793070525,5.333281035288519,-0.027318703435419422,0.3945391397065308,0.05899981152024333
28,A_clinical,12,3.424940574125974,4.525491156931718,0.25129979424948623,0.6637428050669895,0.5419699643646038
28,B_global_activity,12,3.335346959782042,4.538384349018321,0.24702760093534404,0.6431456783935998,0.6157477845597761
28,C_standard_eeg_fc,12,3.7983930346668635,5.098649859231218,0.04964275812806651,0.4841261425270504,0.46711677301235655
28,D_p1_core_true_backbone,12,3.631819745801535,4.988416874595377,0.09029204881348063,0.795097679332747,0.4761820206289189
28,E_standard_plus_p1,12,3.840258885244191,5.1519375173642254,0.029673961328558485,0.5123962822366592,0.40575335927141415
28,F_random_backbone_control,12,3.7005718783499666,5.0373052696307,0.07237370128441545,0.6219430736113932,0.3048939353090233
29,A_clinical,11,3.7530496234236184,4.609375009450366,0.22519382299360668,0.6152335044944843,0.6381342298256053
29,B_global_activity,11,3.658607488299907,4.667283841819782,0.20560332921231017,0.6575147005165352,0.6650752131201942
29,C_standard_eeg_fc,11,3.5981743802837047,5.071631474073029,0.06199670196932261,0.26208627922687067,0.4605730484040683
29,D_p1_core_true_backbone,11,4.043470711721942,5.0478681436317325,0.07076621209929435,0.4092224359858156,0.5154874449251325
29,E_standard_plus_p1,11,4.239054779690139,5.299298224641249,-0.02410788502591732,0.2988703184166069,0.3640712551490065
29,F_random_backbone_control,11,3.996117750191685,5.046726114722406,0.0711866239543234,0.473594504567854,0.5539307667892728
30,A_clinical,12,1.6374575526555726,2.0168739181572226,0.3653733717757608,0.6369544377041074,0.71565287028916
30,B_global_activity,12,2.487800990793373,2.8506346054108302,-0.2677800022897825,0.3022834619612713,0.38134071208828224
30,C_standard_eeg_fc,12,2.700231073581173,3.0341399032318015,-0.43625646061020773,0.09716254134469436,0.0705744021855989
30,D_p1_core_true_backbone,12,2.8263341718101205,3.259704098162397,-0.6577427912145704,0.38865016537877745,0.4720182109932579
30,E_standard_plus_p1,12,2.5900616891924,3.026356117153044,-0.42889676499184115,0.13314866776865522,0.10992491532645256
