task_name,model,n_permutations,observed_roc_auc,auc_permutation_p,observed_balanced_accuracy,balanced_accuracy_permutation_p,observed_log_loss,log_loss_permutation_p,combo,gsr,atlas
responsive_vs_lor_all_phases,gcc_regime_plus_confounds,100,0.965890522875817,0.0099009900990099,0.8936887254901961,0.0099009900990099,0.2375100096864429,0.0099009900990099,withGSR_4S256,with_GSR,4S256
responsive_vs_lor_all_phases,full_standard_plus_gcc,100,0.9642565359477124,0.0099009900990099,0.8936887254901961,0.0099009900990099,0.2415360752273605,0.0099009900990099,withGSR_4S256,with_GSR,4S256
prelor_vs_lor_task2,confounds_motion_propofol,100,0.9808,0.0099009900990099,0.98,0.0099009900990099,0.204285406101756,0.0099009900990099,withGSR_4S256,with_GSR,4S256
prelor_vs_lor_task2,standard_fc_plus_confounds,100,0.9856,0.0099009900990099,0.96,0.0099009900990099,0.1603638272781667,0.0099009900990099,withGSR_4S256,with_GSR,4S256
prelor_vs_lor_task2,gcc_core_plus_confounds,100,0.984,0.0099009900990099,0.96,0.0099009900990099,0.169321515356991,0.0099009900990099,withGSR_4S256,with_GSR,4S256
prelor_vs_lor_task2,gcc_regime_plus_confounds,100,0.9824,0.0099009900990099,0.96,0.0099009900990099,0.1802015572723617,0.0099009900990099,withGSR_4S256,with_GSR,4S256
prelor_vs_lor_task2,full_standard_plus_gcc,100,0.9808,0.0099009900990099,0.94,0.0099009900990099,0.1798091911345619,0.0099009900990099,withGSR_4S256,with_GSR,4S256
lor_vs_ror_task3,confounds_motion_propofol,100,0.9556786703601108,0.0099009900990099,0.9210526315789472,0.0099009900990099,0.2625570451364868,0.0099009900990099,withGSR_4S256,with_GSR,4S256
lor_vs_ror_task3,standard_fc_plus_confounds,100,0.9778393351800554,0.0099009900990099,0.8947368421052632,0.0099009900990099,0.2171261635378398,0.0099009900990099,withGSR_4S256,with_GSR,4S256
lor_vs_ror_task3,gcc_core_plus_confounds,100,0.9778393351800554,0.0099009900990099,0.8947368421052632,0.0099009900990099,0.2023564451087814,0.0099009900990099,withGSR_4S256,with_GSR,4S256
lor_vs_ror_task3,gcc_regime_plus_confounds,100,0.9861495844875346,0.0099009900990099,0.8947368421052632,0.0099009900990099,0.1784839959733287,0.0099009900990099,withGSR_4S256,with_GSR,4S256
lor_vs_ror_task3,full_standard_plus_gcc,100,0.9833795013850416,0.0099009900990099,0.8947368421052632,0.0099009900990099,0.180896472098772,0.0099009900990099,withGSR_4S256,with_GSR,4S256
