subject,condition,band,R_mean,D_mean,M_mean,Pi,Access_all,n_windows,n_rois,duration_s
20,moderate,alpha,0.21210323374221735,66.52907032246092,0.00025676926618178804,0.7643678160919539,0.39655172413793105,58.0,68.0,90.0
20,moderate,gamma,0.1492357190258788,66.50674476812232,0.00023328842389942476,0.6896551724137931,0.27586206896551724,58.0,68.0,90.0
22,baseline,alpha,0.2072319910118645,66.52871965630963,0.0004290651003620813,0.8275862068965517,0.5689655172413793,58.0,68.0,90.0
22,baseline,gamma,0.15208111426905194,66.50730474484477,0.0002679324539661469,0.8275862068965517,0.5344827586206896,58.0,68.0,90.0
22,moderate,alpha,0.2092941988226278,66.52997766999574,0.0005124966340232687,0.8333333333333333,0.6206896551724138,58.0,68.0,90.0
22,moderate,gamma,0.15104292200523267,66.50411808934801,0.0002329712905768703,0.8620689655172412,0.6724137931034483,58.0,68.0,90.0
23,baseline,alpha,0.21702052651279774,66.53858371521018,0.0006815847496839893,0.8275862068965517,0.5862068965517241,58.0,68.0,90.0
23,baseline,gamma,0.15356725994298562,66.50835090509584,0.00022244581969951228,0.8275862068965518,0.5517241379310345,58.0,68.0,90.0
23,moderate,alpha,0.21311258178578432,66.53161820685094,0.0003558819804281507,0.6839080459770115,0.27586206896551724,58.0,68.0,90.0
23,moderate,gamma,0.15081573655980535,66.50152530127079,0.00020647642169444226,0.7701149425287356,0.41379310344827586,58.0,68.0,90.0
24,baseline,alpha,0.216788352490933,66.5397438940838,0.00043970727703957423,0.8275862068965517,0.6206896551724138,58.0,68.0,90.0
24,baseline,gamma,0.15383015242371395,66.51191303075211,0.0002847503783459486,0.8275862068965516,0.603448275862069,58.0,68.0,90.0
24,moderate,alpha,0.21630248960810483,66.54211404196296,0.0005663197811991105,0.7931034482758621,0.4482758620689655,58.0,68.0,90.0
24,moderate,gamma,0.16168706496205681,66.51700684452011,0.0002583976061664182,0.8045977011494252,0.5172413793103449,58.0,68.0,90.0
25,baseline,alpha,0.20596422625123767,66.5166498177916,0.00030949344492890767,0.8275862068965517,0.5689655172413793,58.0,68.0,90.0
25,baseline,gamma,0.14926667575470223,66.50089997255505,0.00020344199729034105,0.8275862068965517,0.5862068965517241,58.0,68.0,90.0
25,moderate,alpha,0.2057917955793171,66.51933451970578,0.00034915286436685796,0.7413793103448275,0.3793103448275862,58.0,68.0,90.0
25,moderate,gamma,0.15013875629407586,66.50378376878277,0.00019013519424117574,0.8620689655172412,0.6724137931034483,58.0,68.0,90.0
26,baseline,alpha,0.2072857482834615,66.52736581628726,0.0005548419387840185,0.8275862068965517,0.5689655172413793,58.0,68.0,90.0
26,baseline,gamma,0.15006775591780236,66.51039209272969,0.0002658509969483173,0.8275862068965517,0.5862068965517241,58.0,68.0,90.0
26,moderate,alpha,0.20865982943246283,66.52893349025844,0.00044025047939396387,0.8333333333333334,0.5862068965517241,58.0,68.0,90.0
26,moderate,gamma,0.15140316973400253,66.50811741751478,0.00021415966806387574,0.8390804597701148,0.5862068965517241,58.0,68.0,90.0
27,baseline,alpha,0.21553568402347156,66.53971761144011,0.0005346641350738495,0.8275862068965517,0.5344827586206896,58.0,68.0,90.0
27,baseline,gamma,0.15156520048963176,66.5072029445147,0.0002868807982196309,0.8275862068965517,0.5689655172413793,58.0,68.0,90.0
27,moderate,alpha,0.20786186177157367,66.53369457550603,0.0004979381489207066,0.7873563218390804,0.5172413793103449,58.0,68.0,90.0
27,moderate,gamma,0.1499606627310239,66.50535325595399,0.00022290137386929824,0.7931034482758621,0.5344827586206896,58.0,68.0,90.0
28,baseline,alpha,0.21551265103347794,66.53845118729738,0.0005973395169256268,0.8275862068965517,0.5517241379310345,58.0,68.0,90.0
28,baseline,gamma,0.15245195823082522,66.52139618465914,0.0003299983408985178,0.8275862068965517,0.5862068965517241,58.0,68.0,90.0
28,moderate,alpha,0.21315686000393227,66.5277282970768,0.00041722904518635127,0.7241379310344827,0.3793103448275862,58.0,68.0,90.0
28,moderate,gamma,0.15158038934629117,66.51037280057507,0.00020962924443882394,0.7298850574712644,0.41379310344827586,58.0,68.0,90.0
29,baseline,alpha,0.21090553825958439,66.52702928846703,0.000367395599900952,0.8275862068965516,0.5344827586206896,58.0,68.0,90.0
29,baseline,gamma,0.15009743554299662,66.50267563934703,0.00021183083190751966,0.8275862068965517,0.6206896551724138,58.0,68.0,90.0
29,moderate,alpha,0.20832458757334266,66.52678254166563,0.00030038338687264046,0.7988505747126436,0.5172413793103449,58.0,68.0,90.0
29,moderate,gamma,0.1501358873416997,66.50158996699516,0.00017423910493485879,0.7471264367816091,0.39655172413793105,58.0,68.0,90.0
3,baseline,alpha,0.20900846257380926,66.52559635733951,0.0004220600715278277,0.8275862068965517,0.6206896551724138,58.0,68.0,90.0
3,baseline,gamma,0.1520120854343562,66.50512258363973,0.00022790908209671895,0.8275862068965516,0.5344827586206896,58.0,68.0,90.0
3,moderate,alpha,0.2057960372888956,66.5198683565228,0.00033449931698971327,0.8160919540229884,0.5,58.0,68.0,90.0
3,moderate,gamma,0.1505798791131644,66.4980988838218,0.0002701858895739571,0.7126436781609194,0.3448275862068966,58.0,68.0,90.0
5,baseline,alpha,0.20981594780202703,66.53083909568966,0.00043787107768360195,0.8275862068965518,0.5862068965517241,58.0,68.0,90.0
5,baseline,gamma,0.15082645139825962,66.50953607749513,0.0002529364614345163,0.8275862068965517,0.6379310344827587,58.0,68.0,90.0
5,moderate,alpha,0.2060192951159398,66.52466381076566,0.0003408362103926005,0.8045977011494254,0.5517241379310345,58.0,68.0,90.0
5,moderate,gamma,0.1510269888829458,66.5055242250875,0.00025405316170548815,0.7873563218390806,0.603448275862069,58.0,68.0,90.0
6,baseline,alpha,0.21486409474712007,66.53012869769618,0.00045887365332337375,0.8275862068965516,0.5,58.0,68.0,90.0
6,baseline,gamma,0.1504426787867341,66.50530898141061,0.000201341062215441,0.8275862068965517,0.5862068965517241,58.0,68.0,90.0
6,moderate,alpha,0.21050164027832624,66.52885889788519,0.00042747408164315595,0.8275862068965517,0.5517241379310345,58.0,68.0,90.0
6,moderate,gamma,0.15321966710829335,66.50720629378516,0.00018823484766824545,0.8160919540229884,0.5172413793103449,58.0,68.0,90.0
