subject,condition,acq,run,filename,band,n_channels,duration_s,R_mean,D_mean,M_mean,Pi,Access_all,n_windows,theta_power,alpha_power,beta_power,gamma_power,alpha_gamma_ratio,spectral_entropy
1061,sed2,rest,3.0,sub-1061_task-sed2_acq-rest_run-3_eeg.vhdr,alpha,62,60.0,0.1538749765108547,2.7836950558445435,0.0054488813405595,0.7663817663817662,0.4273504273504273,117,0.0784281356790898,0.3154374110060473,0.072775978726705,0.0053860295764306,58.56585198266327,0.6543656525621084
1061,sed,rest,1.0,sub-1061_task-sed_acq-rest_run-1_eeg.vhdr,alpha,62,120.0,0.1591307402303035,2.1802668085793417,0.0035652341372956,0.7890295358649789,0.4430379746835443,237,0.0664138737316489,0.3362964110353698,0.0488548984633334,0.004976406451741,67.5781639279352,0.6338987146177923
1061,sed,rest,2.0,sub-1061_task-sed_acq-rest_run-2_eeg.vhdr,alpha,62,120.0,0.2787684003770785,51.61520712940335,0.0011381545187993,0.3881856540084387,0.0337552742616033,237,0.1034726030887022,0.1770929580511389,0.0333084903810705,0.0072076403296572,24.57017136355768,0.582411572890278
1061,sed,rest,3.0,sub-1061_task-sed_acq-rest_run-3_eeg.vhdr,alpha,62,120.0,0.1405722698324127,2.830981486531689,0.0040091219045433,0.7060478199718705,0.3248945147679324,237,0.0751606671205385,0.4524888355948133,0.1504369588361915,0.0082162219786406,55.07261570050732,0.7877460406280844
1062,awake,EC,,sub-1062_task-awake_acq-EC_eeg.vhdr,alpha,62,120.0,0.129381760050862,2.5291648418175714,0.0035078147460777,0.8312236286919833,0.6160337552742616,237,0.1484465684205493,0.4779720907141885,0.0783159743278049,0.0237031708517574,20.1649008769046,0.7809764796481109
1062,sed2,rest,1.0,sub-1062_task-sed2_acq-rest_run-1_eeg.vhdr,alpha,62,60.0,0.1107346784629866,3.4683209843900547,0.0048708711209146,0.6467236467236468,0.1965811965811965,117,0.0906159493640867,0.2368445732848678,0.0958339423063323,0.0083330587040716,28.42228546172593,0.6455057811978145
1062,sed2,rest,2.0,sub-1062_task-sed2_acq-rest_run-2_eeg.vhdr,alpha,62,60.0,0.1128286665001354,3.498754512325231,0.003508409430135,0.6438746438746437,0.2564102564102564,117,0.0986584528821311,0.3672275424771654,0.0867905567741034,0.0071531679616849,51.33774914734816,0.7224010336127409
1062,sed2,rest,3.0,sub-1062_task-sed2_acq-rest_run-3_eeg.vhdr,alpha,62,60.0,0.1414225794870139,3.203112506855691,0.0078804856508478,0.774928774928775,0.4871794871794871,117,0.0934598992079195,0.2197458712871349,0.0637480223457782,0.0055867117482704,39.33366909718095,0.6093422799141572
1062,sed,rest,1.0,sub-1062_task-sed_acq-rest_run-1_eeg.vhdr,alpha,62,120.0,0.1350126184016105,2.7406093893309675,0.0039324241419699,0.8832630098452883,0.6624472573839663,237,0.0839341422293641,0.2158354029391723,0.0407541130346457,0.0069233393103155,31.175043318533973,0.5764442579342538
1062,sed,rest,2.0,sub-1062_task-sed_acq-rest_run-2_eeg.vhdr,alpha,62,120.0,0.1055751648350948,3.2646023594256297,0.0028401606950476,0.6779184247538678,0.3670886075949367,237,0.1102439215450862,0.3248261684387413,0.1179320099391411,0.0103072120931199,31.51445468208111,0.7412285115660038
1062,sed,rest,3.0,sub-1062_task-sed_acq-rest_run-3_eeg.vhdr,alpha,62,120.0,0.1247654442979688,3.1095095205683387,0.0042686555370495,0.80028129395218,0.4978902953586498,237,0.0998965980165015,0.4019092965676238,0.0775986750964732,0.0062987509356835,63.80777722562873,0.722830529444655
